League,Day,Team 1,Team 2,Score
Euroleague,"Oct 10, 2001",Benetton Treviso,Unicaja Malaga,98 - 94
Euroleague,"Oct 10, 2001",Proximus Spirou,WKS Slask Wroclaw,53 - 71
Euroleague,"Oct 10, 2001",Maccabi Playtika Tel Aviv,Alba Berlin,82 - 70
Euroleague,"Oct 10, 2001",Olympiacos,Anadolu Efes,87 - 72
Euroleague,"Oct 10, 2001",Virtus Segafredo Bologna,Zalgiris,90 - 54
Euroleague,"Oct 10, 2001",Trabzonspor,London Towers,107 - 64
Euroleague,"Oct 10, 2001",KK Union Olimpija Ljubljana,Peristeri,81 - 74
Euroleague,"Oct 10, 2001",Fraport Skyliners,F.C. Barcelona,74 - 88
Euroleague,"Oct 10, 2001",Pau-Lacq-Orthez,CSKA Moscow,91 - 83
Euroleague,"Oct 10, 2001",Panathinaikos,Fortitudo Lavoropiù Bologna,81 - 70
Euroleague,"Oct 10, 2001",Buducnost VOLI,Real Madrid,72 - 82
Euroleague,"Oct 10, 2001",Krka Novo Mesto,Zadar,91 - 94
Euroleague,"Oct 10, 2001",Partizan NIS,Filou Oostende,86 - 77
Euroleague,"Oct 10, 2001",Ural-Great Perm,Carpegna Prosciutto Pesaro,99 - 88
Euroleague,"Oct 10, 2001",Cibona,TD Systems Baskonia,96 - 95
Euroleague,"Oct 10, 2001",LDLC ASVEL,AEK Athens,86 - 84
Euroleague,"Oct 20, 2001",Anadolu Efes,Benetton Treviso,87 - 78
Euroleague,"Oct 20, 2001",Alba Berlin,Olympiacos,69 - 88
Euroleague,"Oct 20, 2001",Unicaja Malaga,Proximus Spirou,76 - 68
Euroleague,"Oct 20, 2001",WKS Slask Wroclaw,Maccabi Playtika Tel Aviv,79 - 65
Euroleague,"Oct 20, 2001",London Towers,KK Union Olimpija Ljubljana,58 - 91
Euroleague,"Oct 20, 2001",Zalgiris,Trabzonspor,79 - 82
Euroleague,"Oct 20, 2001",Peristeri,Fraport Skyliners,89 - 93
Euroleague,"Oct 20, 2001",F.C. Barcelona,Virtus Segafredo Bologna,69 - 85
Euroleague,"Oct 20, 2001",Zadar,Pau-Lacq-Orthez,79 - 83
Euroleague,"Oct 20, 2001",CSKA Moscow,Panathinaikos,85 - 91
Euroleague,"Oct 20, 2001",Fortitudo Lavoropiù Bologna,Buducnost VOLI,109 - 79
Euroleague,"Oct 20, 2001",Real Madrid,Krka Novo Mesto,87 - 93
Euroleague,"Oct 20, 2001",Filou Oostende,Ural-Great Perm,79 - 84
Euroleague,"Oct 20, 2001",AEK Athens,Partizan NIS,106 - 70
Euroleague,"Oct 20, 2001",TD Systems Baskonia,LDLC ASVEL,90 - 66
Euroleague,"Oct 20, 2001",Carpegna Prosciutto Pesaro,Cibona,88 - 75
Euroleague,"Oct 24, 2001",Anadolu Efes,Alba Berlin,78 - 72
Euroleague,"Oct 24, 2001",Benetton Treviso,Proximus Spirou,86 - 78
Euroleague,"Oct 24, 2001",Olympiacos,WKS Slask Wroclaw,101 - 79
Euroleague,"Oct 24, 2001",Maccabi Playtika Tel Aviv,Unicaja Malaga,82 - 60
Euroleague,"Oct 24, 2001",Virtus Segafredo Bologna,Trabzonspor,68 - 60
Euroleague,"Oct 24, 2001",Fraport Skyliners,London Towers,61 - 57
Euroleague,"Oct 24, 2001",F.C. Barcelona,Peristeri,73 - 77
Euroleague,"Oct 24, 2001",KK Union Olimpija Ljubljana,Zalgiris,87 - 66
Euroleague,"Oct 24, 2001",Krka Novo Mesto,Fortitudo Lavoropiù Bologna,94 - 100
Euroleague,"Oct 24, 2001",Zadar,Real Madrid,73 - 81
Euroleague,"Oct 24, 2001",Pau-Lacq-Orthez,Panathinaikos,67 - 79
Euroleague,"Oct 24, 2001",Buducnost VOLI,CSKA Moscow,72 - 103
Euroleague,"Oct 24, 2001",Cibona,Filou Oostende,85 - 76
Euroleague,"Oct 24, 2001",AEK Athens,TD Systems Baskonia,85 - 82
Euroleague,"Oct 24, 2001",Partizan NIS,Ural-Great Perm,85 - 80
