League,Day,Team 1,Team 2,Score
Euroleague,"Oct 3, 2019",Khimki Moscow Region,Maccabi Playtika Tel Aviv,89 - 83
Euroleague,"Oct 3, 2019",Panathinaikos,Crvena zvezda mts,87 - 82
Euroleague,"Oct 3, 2019",FC Bayern München,AX Armani Exchange Milano,78 - 64
Euroleague,"Oct 3, 2019",Real Madrid,Fenerbahce,81 - 77
Euroleague,"Oct 4, 2019",Zalgiris,TD Systems Baskonia,58 - 70
Euroleague,"Oct 4, 2019",Anadolu Efes,F.C. Barcelona,64 - 74
Euroleague,"Oct 4, 2019",Alba Berlin,Zenit St. Petersburg,85 - 65
Euroleague,"Oct 4, 2019",LDLC ASVEL,Olympiacos,82 - 63
Euroleague,"Oct 4, 2019",Valencia,CSKA Moscow,71 - 96
Euroleague,"Oct 10, 2019",Crvena zvezda mts,Fenerbahce,68 - 56
Euroleague,"Oct 10, 2019",CSKA Moscow,FC Bayern München,79 - 68
Euroleague,"Oct 10, 2019",LDLC ASVEL,Panathinaikos,79 - 78
Euroleague,"Oct 10, 2019",Real Madrid,Maccabi Playtika Tel Aviv,86 - 85
Euroleague,"Oct 11, 2019",Zenit St. Petersburg,F.C. Barcelona,63 - 87
Euroleague,"Oct 11, 2019",Khimki Moscow Region,TD Systems Baskonia,79 - 76
Euroleague,"Oct 11, 2019",Anadolu Efes,Alba Berlin,106 - 105
Euroleague,"Oct 11, 2019",Olympiacos,Valencia,89 - 63
Euroleague,"Oct 11, 2019",AX Armani Exchange Milano,Zalgiris,85 - 81
Euroleague,"Oct 17, 2019",CSKA Moscow,Khimki Moscow Region,99 - 86
Euroleague,"Oct 17, 2019",Zalgiris,Real Madrid,86 - 73
Euroleague,"Oct 17, 2019",Fenerbahce,TD Systems Baskonia,87 - 80
Euroleague,"Oct 17, 2019",Maccabi Playtika Tel Aviv,Crvena zvezda mts,84 - 69
Euroleague,"Oct 17, 2019",FC Bayern München,LDLC ASVEL,104 - 63
Euroleague,"Oct 17, 2019",Panathinaikos,AX Armani Exchange Milano,78 - 79
Euroleague,"Oct 18, 2019",Olympiacos,Zenit St. Petersburg,68 - 77
