League,Day,Team 1,Team 2,Score
Euroleague,"Oct 11, 2012",CSKA Moscow,Rytas Vilnius,75 - 73
Euroleague,"Oct 11, 2012",Zalgiris,Cedevita Olimpija,90 - 62
Euroleague,"Oct 11, 2012",Acqua S.Bernardo Cantù,Petrol Olimpjia,71 - 84
Euroleague,"Oct 11, 2012",Chalon,Asseco Arka Gdynia,81 - 74
Euroleague,"Oct 11, 2012",Olympiacos,TD Systems Baskonia,85 - 81
Euroleague,"Oct 11, 2012",Fenerbahce,Khimki Moscow Region,92 - 80
Euroleague,"Oct 11, 2012",Unicaja Malaga,Maccabi Playtika Tel Aviv,80 - 85
Euroleague,"Oct 12, 2012",Besiktas S.J.,Partizan NIS,81 - 65
Euroleague,"Oct 12, 2012",F.C. Barcelona,Brose Bamberg,72 - 60
Euroleague,"Oct 12, 2012",Real Madrid,Panathinaikos,85 - 78
Euroleague,"Oct 12, 2012",OnSharing Siena,Alba Berlin,82 - 92
Euroleague,"Oct 12, 2012",AX Armani Exchange Milano,Anadolu Efes,80 - 75
Euroleague,"Oct 17, 2012",Asseco Arka Gdynia,Unicaja Malaga,75 - 77
Euroleague,"Oct 18, 2012",Rytas Vilnius,F.C. Barcelona,49 - 67
Euroleague,"Oct 18, 2012",Brose Bamberg,Besiktas S.J.,71 - 86
Euroleague,"Oct 18, 2012",Alba Berlin,Chalon,74 - 71
Euroleague,"Oct 18, 2012",Partizan NIS,CSKA Moscow,71 - 76
Euroleague,"Oct 18, 2012",Panathinaikos,Acqua S.Bernardo Cantù,78 - 76
Euroleague,"Oct 18, 2012",Maccabi Playtika Tel Aviv,OnSharing Siena,70 - 68
Euroleague,"Oct 19, 2012",Khimki Moscow Region,Real Madrid,86 - 85
Euroleague,"Oct 19, 2012",Cedevita Olimpija,AX Armani Exchange Milano,71 - 83
Euroleague,"Oct 19, 2012",Anadolu Efes,Olympiacos,98 - 72
Euroleague,"Oct 19, 2012",TD Systems Baskonia,Zalgiris,71 - 77
Euroleague,"Oct 19, 2012",Petrol Olimpjia,Fenerbahce,75 - 81
Euroleague,"Oct 25, 2012",CSKA Moscow,Brose Bamberg,76 - 67
Euroleague,"Oct 25, 2012",Rytas Vilnius,Partizan NIS,69 - 61
Euroleague,"Oct 25, 2012",Fenerbahce,Real Madrid,75 - 83
Euroleague,"Oct 25, 2012",AX Armani Exchange Milano,TD Systems Baskonia,85 - 95
Euroleague,"Oct 25, 2012",Chalon,Maccabi Playtika Tel Aviv,61 - 90
Euroleague,"Oct 25, 2012",F.C. Barcelona,Besiktas S.J.,72 - 60
Euroleague,"Oct 25, 2012",Asseco Arka Gdynia,Alba Berlin,77 - 66
Euroleague,"Oct 25, 2012",Olympiacos,Zalgiris,61 - 79
Euroleague,"Oct 26, 2012",Anadolu Efes,Cedevita Olimpija,85 - 66
Euroleague,"Oct 26, 2012",Acqua S.Bernardo Cantù,Khimki Moscow Region,67 - 54
Euroleague,"Oct 26, 2012",Petrol Olimpjia,Panathinaikos,67 - 85
Euroleague,"Oct 26, 2012",Unicaja Malaga,OnSharing Siena,91 - 89
Euroleague,"Nov 1, 2012",Zalgiris,AX Armani Exchange Milano,92 - 87
Euroleague,"Nov 1, 2012",Fenerbahce,Panathinaikos,73 - 64
Euroleague,"Nov 1, 2012",Maccabi Playtika Tel Aviv,Asseco Arka Gdynia,93 - 62
Euroleague,"Nov 1, 2012",Real Madrid,Acqua S.Bernardo Cantù,80 - 66
Euroleague,"Nov 1, 2012",Unicaja Malaga,Alba Berlin,67 - 62
Euroleague,"Nov 1, 2012",TD Systems Baskonia,Anadolu Efes,64 - 76
Euroleague,"Nov 1, 2012",F.C. Barcelona,Partizan NIS,85 - 82
Euroleague,"Nov 2, 2012",Khimki Moscow Region,Petrol Olimpjia,75 - 65
Euroleague,"Nov 2, 2012",Besiktas S.J.,CSKA Moscow,58 - 85
Euroleague,"Nov 2, 2012",Olympiacos,Cedevita Olimpija,79 - 77
Euroleague,"Nov 2, 2012",Brose Bamberg,Rytas Vilnius,84 - 78
Euroleague,"Nov 2, 2012",OnSharing Siena,Chalon,93 - 90
Euroleague,"Nov 8, 2012",CSKA Moscow,F.C. Barcelona,60 - 81
Euroleague,"Nov 8, 2012",Rytas Vilnius,Besiktas S.J.,67 - 73
Euroleague,"Nov 8, 2012",Acqua S.Bernardo Cantù,Fenerbahce,82 - 58
Euroleague,"Nov 8, 2012",Chalon,Unicaja Malaga,78 - 88
Euroleague,"Nov 8, 2012",AX Armani Exchange Milano,Olympiacos,71 - 84
Euroleague,"Nov 8, 2012",Alba Berlin,Maccabi Playtika Tel Aviv,76 - 78
Euroleague,"Nov 9, 2012",Cedevita Olimpija,TD Systems Baskonia,76 - 69
Euroleague,"Nov 9, 2012",Asseco Arka Gdynia,OnSharing Siena,66 - 101
Euroleague,"Nov 9, 2012",Anadolu Efes,Zalgiris,64 - 77
Euroleague,"Nov 9, 2012",Panathinaikos,Khimki Moscow Region,67 - 79
Euroleague,"Nov 9, 2012",Petrol Olimpjia,Real Madrid,76 - 89
Euroleague,"Nov 9, 2012",Partizan NIS,Brose Bamberg,72 - 77
Euroleague,"Nov 15, 2012",Khimki Moscow Region,Fenerbahce,71 - 70
Euroleague,"Nov 15, 2012",Rytas Vilnius,CSKA Moscow,62 - 71
Euroleague,"Nov 15, 2012",Brose Bamberg,F.C. Barcelona,66 - 86
Euroleague,"Nov 15, 2012",Asseco Arka Gdynia,Chalon,70 - 76
Euroleague,"Nov 15, 2012",Maccabi Playtika Tel Aviv,Unicaja Malaga,62 - 64
Euroleague,"Nov 15, 2012",Petrol Olimpjia,Acqua S.Bernardo Cantù,81 - 79
Euroleague,"Nov 15, 2012",Cedevita Olimpija,Zalgiris,108 - 106
Euroleague,"Nov 15, 2012",Panathinaikos,Real Madrid,79 - 68
Euroleague,"Nov 15, 2012",Alba Berlin,OnSharing Siena,73 - 75
Euroleague,"Nov 15, 2012",Partizan NIS,Besiktas S.J.,87 - 72
Euroleague,"Nov 16, 2012",Anadolu Efes,AX Armani Exchange Milano,77 - 71
Euroleague,"Nov 16, 2012",TD Systems Baskonia,Olympiacos,72 - 89
Euroleague,"Nov 22, 2012",CSKA Moscow,Partizan NIS,78 - 61
Euroleague,"Nov 22, 2012",Fenerbahce,Petrol Olimpjia,85 - 68
Euroleague,"Nov 22, 2012",Chalon,Alba Berlin,82 - 87
Euroleague,"Nov 22, 2012",AX Armani Exchange Milano,Cedevita Olimpija,75 - 60
Euroleague,"Nov 22, 2012",Olympiacos,Anadolu Efes,75 - 53
Euroleague,"Nov 22, 2012",F.C. Barcelona,Rytas Vilnius,90 - 66
Euroleague,"Nov 23, 2012",Zalgiris,TD Systems Baskonia,82 - 45
Euroleague,"Nov 23, 2012",Besiktas S.J.,Brose Bamberg,83 - 72
Euroleague,"Nov 23, 2012",Acqua S.Bernardo Cantù,Panathinaikos,69 - 71
Euroleague,"Nov 23, 2012",OnSharing Siena,Maccabi Playtika Tel Aviv,89 - 87
Euroleague,"Nov 23, 2012",Real Madrid,Khimki Moscow Region,104 - 81
Euroleague,"Nov 23, 2012",Unicaja Malaga,Asseco Arka Gdynia,63 - 48
Euroleague,"Nov 29, 2012",Khimki Moscow Region,Acqua S.Bernardo Cantù,77 - 53
Euroleague,"Nov 29, 2012",Cedevita Olimpija,Anadolu Efes,73 - 81
Euroleague,"Nov 29, 2012",Panathinaikos,Petrol Olimpjia,80 - 72
Euroleague,"Nov 29, 2012",Alba Berlin,Asseco Arka Gdynia,67 - 64
Euroleague,"Nov 29, 2012",Brose Bamberg,CSKA Moscow,89 - 97
Euroleague,"Nov 29, 2012",Maccabi Playtika Tel Aviv,Chalon,78 - 73
Euroleague,"Nov 29, 2012",TD Systems Baskonia,AX Armani Exchange Milano,64 - 62
Euroleague,"Nov 29, 2012",Partizan NIS,Rytas Vilnius,75 - 74
Euroleague,"Nov 30, 2012",Zalgiris,Olympiacos,63 - 77
Euroleague,"Nov 30, 2012",Besiktas S.J.,F.C. Barcelona,48 - 78
Euroleague,"Nov 30, 2012",OnSharing Siena,Unicaja Malaga,91 - 72
