League,Day,Team 1,Team 2,Score
Euroleague,"Oct 11, 2018",CSKA Moscow,F.C. Barcelona,95 - 75
Euroleague,"Oct 11, 2018",Panathinaikos,Maccabi Playtika Tel Aviv,89 - 84
Euroleague,"Oct 11, 2018",FC Bayern München,Anadolu Efes,71 - 90
Euroleague,"Oct 11, 2018",Real Madrid,Darussafaka,109 - 93
Euroleague,"Oct 12, 2018",Buducnost VOLI,AX Armani Exchange Milano,71 - 82
Euroleague,"Oct 12, 2018",Khimki Moscow Region,Olympiacos,66 - 87
Euroleague,"Oct 12, 2018",Zalgiris,TD Systems Baskonia,79 - 87
Euroleague,"Oct 12, 2018",Fenerbahce,Herbalife Gran Canaria,97 - 72
Euroleague,"Oct 16, 2018",Darussafaka,Buducnost VOLI,71 - 63
Euroleague,"Oct 16, 2018",Maccabi Playtika Tel Aviv,CSKA Moscow,86 - 89
Euroleague,"Oct 16, 2018",FC Bayern München,Panathinaikos,80 - 79
Euroleague,"Oct 16, 2018",Herbalife Gran Canaria,F.C. Barcelona,87 - 86
Euroleague,"Oct 17, 2018",Anadolu Efes,Zalgiris,79 - 93
Euroleague,"Oct 17, 2018",Fenerbahce,Khimki Moscow Region,93 - 85
Euroleague,"Oct 17, 2018",TD Systems Baskonia,Olympiacos,80 - 85
Euroleague,"Oct 17, 2018",AX Armani Exchange Milano,Real Madrid,85 - 91
Euroleague,"Oct 18, 2018",CSKA Moscow,Darussafaka,79 - 75
Euroleague,"Oct 18, 2018",Buducnost VOLI,Maccabi Playtika Tel Aviv,68 - 78
Euroleague,"Oct 18, 2018",Panathinaikos,Herbalife Gran Canaria,102 - 87
Euroleague,"Oct 18, 2018",F.C. Barcelona,FC Bayern München,83 - 73
Euroleague,"Oct 19, 2018",Khimki Moscow Region,Anadolu Efes,84 - 85
Euroleague,"Oct 19, 2018",Zalgiris,Fenerbahce,75 - 82
Euroleague,"Oct 19, 2018",Olympiacos,AX Armani Exchange Milano,75 - 99
Euroleague,"Oct 19, 2018",Real Madrid,TD Systems Baskonia,97 - 79
Euroleague,"Oct 25, 2018",Anadolu Efes,Fenerbahce,89 - 83
Euroleague,"Oct 25, 2018",FC Bayern München,TD Systems Baskonia,77 - 71
Euroleague,"Oct 25, 2018",AX Armani Exchange Milano,Khimki Moscow Region,81 - 80
Euroleague,"Oct 25, 2018",Olympiacos,Maccabi Playtika Tel Aviv,88 - 80
Euroleague,"Oct 25, 2018",Real Madrid,Buducnost VOLI,89 - 55
Euroleague,"Oct 26, 2018",Darussafaka,F.C. Barcelona,71 - 79
Euroleague,"Oct 26, 2018",Panathinaikos,Zalgiris,83 - 87
Euroleague,"Oct 26, 2018",Herbalife Gran Canaria,CSKA Moscow,91 - 106
Euroleague,"Nov 1, 2018",CSKA Moscow,Olympiacos,69 - 65
Euroleague,"Nov 1, 2018",TD Systems Baskonia,Darussafaka,82 - 56
Euroleague,"Nov 1, 2018",Fenerbahce,FC Bayern München,88 - 84
Euroleague,"Nov 1, 2018",F.C. Barcelona,Maccabi Playtika Tel Aviv,74 - 58
Euroleague,"Nov 2, 2018",Khimki Moscow Region,Herbalife Gran Canaria,87 - 72
Euroleague,"Nov 2, 2018",Buducnost VOLI,Panathinaikos,67 - 72
Euroleague,"Nov 2, 2018",Zalgiris,Real Madrid,79 - 90
Euroleague,"Nov 2, 2018",AX Armani Exchange Milano,Anadolu Efes,81 - 80
Euroleague,"Nov 8, 2018",FC Bayern München,Darussafaka,116 - 70
Euroleague,"Nov 8, 2018",Maccabi Playtika Tel Aviv,Real Madrid,66 - 87
Euroleague,"Nov 8, 2018",AX Armani Exchange Milano,CSKA Moscow,85 - 90
Euroleague,"Nov 8, 2018",Herbalife Gran Canaria,Anadolu Efes,90 - 94
Euroleague,"Nov 9, 2018",Khimki Moscow Region,F.C. Barcelona,80 - 87
Euroleague,"Nov 9, 2018",Buducnost VOLI,Zalgiris,60 - 72
Euroleague,"Nov 9, 2018",Panathinaikos,Olympiacos,93 - 80
Euroleague,"Nov 9, 2018",TD Systems Baskonia,Fenerbahce,72 - 74
Euroleague,"Nov 15, 2018",Darussafaka,AX Armani Exchange Milano,92 - 98
Euroleague,"Nov 15, 2018",Buducnost VOLI,TD Systems Baskonia,99 - 84
Euroleague,"Nov 15, 2018",Olympiacos,Fenerbahce,72 - 73
Euroleague,"Nov 15, 2018",Real Madrid,Khimki Moscow Region,79 - 74
Euroleague,"Nov 16, 2018",Anadolu Efes,Panathinaikos,78 - 62
Euroleague,"Nov 16, 2018",Zalgiris,F.C. Barcelona,85 - 88
Euroleague,"Nov 16, 2018",FC Bayern München,CSKA Moscow,79 - 93
Euroleague,"Nov 16, 2018",Herbalife Gran Canaria,Maccabi Playtika Tel Aviv,84 - 78
Euroleague,"Nov 20, 2018",Anadolu Efes,Maccabi Playtika Tel Aviv,90 - 77
Euroleague,"Nov 20, 2018",Fenerbahce,Darussafaka,100 - 79
Euroleague,"Nov 20, 2018",FC Bayern München,Olympiacos,62 - 72
Euroleague,"Nov 20, 2018",Real Madrid,Herbalife Gran Canaria,89 - 76
Euroleague,"Nov 21, 2018",Khimki Moscow Region,Buducnost VOLI,85 - 69
Euroleague,"Nov 21, 2018",CSKA Moscow,Zalgiris,99 - 97
Euroleague,"Nov 21, 2018",Panathinaikos,F.C. Barcelona,76 - 70
Euroleague,"Nov 21, 2018",AX Armani Exchange Milano,TD Systems Baskonia,93 - 90
Euroleague,"Nov 22, 2018",Darussafaka,Anadolu Efes,88 - 93
Euroleague,"Nov 22, 2018",Olympiacos,Real Madrid,88 - 83
Euroleague,"Nov 22, 2018",Maccabi Playtika Tel Aviv,Fenerbahce,70 - 74
Euroleague,"Nov 22, 2018",Herbalife Gran Canaria,FC Bayern München,74 - 89
Euroleague,"Nov 23, 2018",Zalgiris,Khimki Moscow Region,83 - 84
Euroleague,"Nov 23, 2018",TD Systems Baskonia,Panathinaikos,86 - 77
Euroleague,"Nov 23, 2018",Buducnost VOLI,CSKA Moscow,93 - 92
Euroleague,"Nov 23, 2018",F.C. Barcelona,AX Armani Exchange Milano,90 - 80
Euroleague,"Nov 29, 2018",Darussafaka,Herbalife Gran Canaria,71 - 75
Euroleague,"Nov 29, 2018",Zalgiris,AX Armani Exchange Milano,83 - 78
Euroleague,"Nov 29, 2018",Maccabi Playtika Tel Aviv,FC Bayern München,95 - 71
Euroleague,"Nov 29, 2018",Real Madrid,CSKA Moscow,88 - 93
Euroleague,"Nov 30, 2018",Khimki Moscow Region,Panathinaikos,76 - 68
Euroleague,"Nov 30, 2018",Anadolu Efes,TD Systems Baskonia,96 - 85
Euroleague,"Nov 30, 2018",Olympiacos,Buducnost VOLI,92 - 70
Euroleague,"Nov 30, 2018",F.C. Barcelona,Fenerbahce,65 - 84
Euroleague,"Dec 6, 2018",Darussafaka,Maccabi Playtika Tel Aviv,71 - 73
Euroleague,"Dec 6, 2018",Buducnost VOLI,F.C. Barcelona,67 - 64
Euroleague,"Dec 6, 2018",FC Bayern München,Khimki Moscow Region,72 - 65
Euroleague,"Dec 6, 2018",Zalgiris,Olympiacos,83 - 75
Euroleague,"Dec 6, 2018",AX Armani Exchange Milano,Herbalife Gran Canaria,86 - 94
Euroleague,"Dec 7, 2018",Anadolu Efes,Real Madrid,82 - 84
Euroleague,"Dec 7, 2018",TD Systems Baskonia,CSKA Moscow,76 - 73
Euroleague,"Dec 7, 2018",Panathinaikos,Fenerbahce,69 - 81
Euroleague,"Dec 13, 2018",Olympiacos,Anadolu Efes,88 - 81
Euroleague,"Dec 13, 2018",CSKA Moscow,Khimki Moscow Region,88 - 74
Euroleague,"Dec 13, 2018",Fenerbahce,AX Armani Exchange Milano,92 - 85
Euroleague,"Dec 13, 2018",Maccabi Playtika Tel Aviv,TD Systems Baskonia,79 - 81
Euroleague,"Dec 13, 2018",Real Madrid,F.C. Barcelona,92 - 65
Euroleague,"Dec 14, 2018",FC Bayern München,Zalgiris,88 - 84
Euroleague,"Dec 14, 2018",Panathinaikos,Darussafaka,75 - 67
Euroleague,"Dec 14, 2018",Herbalife Gran Canaria,Buducnost VOLI,95 - 85
Euroleague,"Dec 18, 2018",Anadolu Efes,Buducnost VOLI,106 - 68
Euroleague,"Dec 18, 2018",Fenerbahce,CSKA Moscow,79 - 75
Euroleague,"Dec 18, 2018",F.C. Barcelona,Olympiacos,60 - 69
Euroleague,"Dec 18, 2018",Herbalife Gran Canaria,TD Systems Baskonia,71 - 84
Euroleague,"Dec 19, 2018",Darussafaka,Zalgiris,71 - 75
Euroleague,"Dec 19, 2018",Maccabi Playtika Tel Aviv,Khimki Moscow Region,79 - 63
Euroleague,"Dec 19, 2018",AX Armani Exchange Milano,FC Bayern München,78 - 80
Euroleague,"Dec 19, 2018",Real Madrid,Panathinaikos,89 - 68
Euroleague,"Dec 20, 2018",CSKA Moscow,Anadolu Efes,102 - 84
Euroleague,"Dec 20, 2018",Buducnost VOLI,Fenerbahce,65 - 89
Euroleague,"Dec 20, 2018",Olympiacos,Herbalife Gran Canaria,98 - 77
Euroleague,"Dec 20, 2018",TD Systems Baskonia,F.C. Barcelona,70 - 77
Euroleague,"Dec 21, 2018",Khimki Moscow Region,Darussafaka,85 - 84
Euroleague,"Dec 21, 2018",Zalgiris,Maccabi Playtika Tel Aviv,80 - 73
Euroleague,"Dec 21, 2018",Panathinaikos,AX Armani Exchange Milano,83 - 86
Euroleague,"Dec 21, 2018",FC Bayern München,Real Madrid,72 - 82
Euroleague,"Dec 27, 2018",Khimki Moscow Region,TD Systems Baskonia,77 - 85
Euroleague,"Dec 27, 2018",Darussafaka,Olympiacos,79 - 75
Euroleague,"Dec 27, 2018",Maccabi Playtika Tel Aviv,AX Armani Exchange Milano,94 - 92
Euroleague,"Dec 27, 2018",F.C. Barcelona,Anadolu Efes,80 - 65
Euroleague,"Dec 28, 2018",Fenerbahce,Real Madrid,65 - 63
Euroleague,"Dec 28, 2018",Panathinaikos,CSKA Moscow,96 - 84
Euroleague,"Dec 28, 2018",FC Bayern München,Buducnost VOLI,93 - 88
Euroleague,"Dec 28, 2018",Herbalife Gran Canaria,Zalgiris,73 - 66
Euroleague,"Jan 3, 2019",Anadolu Efes,FC Bayern München,92 - 77
Euroleague,"Jan 3, 2019",Real Madrid,Maccabi Playtika Tel Aviv,91 - 79
Euroleague,"Jan 3, 2019",AX Armani Exchange Milano,Buducnost VOLI,111 - 94
Euroleague,"Jan 3, 2019",Herbalife Gran Canaria,Khimki Moscow Region,70 - 99
Euroleague,"Jan 4, 2019",Fenerbahce,TD Systems Baskonia,96 - 87
Euroleague,"Jan 4, 2019",Zalgiris,CSKA Moscow,79 - 84
Euroleague,"Jan 4, 2019",Olympiacos,Panathinaikos,79 - 65
Euroleague,"Jan 4, 2019",F.C. Barcelona,Darussafaka,97 - 65
Euroleague,"Jan 8, 2019",Khimki Moscow Region,Fenerbahce,84 - 78
Euroleague,"Jan 8, 2019",Zalgiris,Anadolu Efes,58 - 79
Euroleague,"Jan 8, 2019",Olympiacos,TD Systems Baskonia,91 - 87
Euroleague,"Jan 8, 2019",Herbalife Gran Canaria,Real Madrid,67 - 75
Euroleague,"Jan 9, 2019",Darussafaka,CSKA Moscow,65 - 80
Euroleague,"Jan 9, 2019",Panathinaikos,FC Bayern München,77 - 67
Euroleague,"Jan 9, 2019",Maccabi Playtika Tel Aviv,Buducnost VOLI,81 - 76
Euroleague,"Jan 9, 2019",AX Armani Exchange Milano,F.C. Barcelona,85 - 90
Euroleague,"Jan 10, 2019",Anadolu Efes,Khimki Moscow Region,81 - 72
Euroleague,"Jan 10, 2019",Fenerbahce,Zalgiris,78 - 61
Euroleague,"Jan 10, 2019",Real Madrid,Olympiacos,94 - 78
Euroleague,"Jan 11, 2019",CSKA Moscow,Maccabi Playtika Tel Aviv,76 - 93
Euroleague,"Jan 11, 2019",Buducnost VOLI,Darussafaka,75 - 74
Euroleague,"Jan 11, 2019",TD Systems Baskonia,Herbalife Gran Canaria,83 - 66
Euroleague,"Jan 11, 2019",FC Bayern München,AX Armani Exchange Milano,93 - 87
Euroleague,"Jan 11, 2019",F.C. Barcelona,Panathinaikos,79 - 68
Euroleague,"Jan 17, 2019",CSKA Moscow,FC Bayern München,77 - 70
Euroleague,"Jan 17, 2019",Olympiacos,Khimki Moscow Region,71 - 57
Euroleague,"Jan 17, 2019",Maccabi Playtika Tel Aviv,F.C. Barcelona,99 - 83
Euroleague,"Jan 17, 2019",Herbalife Gran Canaria,Fenerbahce,64 - 82
Euroleague,"Jan 18, 2019",Anadolu Efes,Darussafaka,82 - 68
Euroleague,"Jan 18, 2019",Buducnost VOLI,Real Madrid,73 - 60
