League,Day,Team 1,Team 2,Score
Euroleague,"Oct 12, 2016",Real Madrid,Olympiacos,83 - 65
Euroleague,"Oct 13, 2016",AX Armani Exchange Milano,Maccabi Playtika Tel Aviv,99 - 97
Euroleague,"Oct 13, 2016",Galatasaray,CSKA Moscow,84 - 109
Euroleague,"Oct 13, 2016",Crvena zvezda mts,Darussafaka,70 - 73
Euroleague,"Oct 14, 2016",TD Systems Baskonia,Anadolu Efes,85 - 84
Euroleague,"Oct 14, 2016",Panathinaikos,Zalgiris,84 - 76
Euroleague,"Oct 14, 2016",UNICS Kazan,F.C. Barcelona,63 - 69
Euroleague,"Oct 14, 2016",Fenerbahce,Brose Bamberg,67 - 66
Euroleague,"Oct 20, 2016",Olympiacos,Anadolu Efes,90 - 66
Euroleague,"Oct 20, 2016",Brose Bamberg,UNICS Kazan,89 - 86
Euroleague,"Oct 20, 2016",Darussafaka,AX Armani Exchange Milano,80 - 81
Euroleague,"Oct 20, 2016",Maccabi Playtika Tel Aviv,Real Madrid,82 - 89
Euroleague,"Oct 21, 2016",Galatasaray,Crvena zvezda mts,83 - 85
Euroleague,"Oct 21, 2016",CSKA Moscow,Panathinaikos,81 - 77
Euroleague,"Oct 21, 2016",Zalgiris,TD Systems Baskonia,78 - 73
Euroleague,"Oct 21, 2016",F.C. Barcelona,Fenerbahce,72 - 73
Euroleague,"Oct 25, 2016",Real Madrid,TD Systems Baskonia,87 - 91
Euroleague,"Oct 25, 2016",Olympiacos,AX Armani Exchange Milano,91 - 81
Euroleague,"Oct 25, 2016",UNICS Kazan,Darussafaka,87 - 94
Euroleague,"Oct 25, 2016",Anadolu Efes,CSKA Moscow,87 - 93
Euroleague,"Oct 26, 2016",Brose Bamberg,Panathinaikos,83 - 84
Euroleague,"Oct 26, 2016",Fenerbahce,Zalgiris,82 - 68
Euroleague,"Oct 26, 2016",Crvena zvezda mts,F.C. Barcelona,76 - 65
Euroleague,"Oct 26, 2016",Maccabi Playtika Tel Aviv,Galatasaray,98 - 92
Euroleague,"Oct 27, 2016",TD Systems Baskonia,Olympiacos,90 - 95
Euroleague,"Oct 27, 2016",AX Armani Exchange Milano,Real Madrid,90 - 101
Euroleague,"Oct 27, 2016",Darussafaka,Anadolu Efes,79 - 84
Euroleague,"Oct 27, 2016",CSKA Moscow,UNICS Kazan,98 - 80
Euroleague,"Oct 28, 2016",Panathinaikos,Crvena zvezda mts,70 - 59
Euroleague,"Oct 28, 2016",Galatasaray,Fenerbahce,87 - 103
Euroleague,"Oct 28, 2016",Zalgiris,Maccabi Playtika Tel Aviv,74 - 87
Euroleague,"Oct 28, 2016",F.C. Barcelona,Brose Bamberg,78 - 74
Euroleague,"Nov 2, 2016",Fenerbahce,UNICS Kazan,73 - 81
Euroleague,"Nov 2, 2016",Maccabi Playtika Tel Aviv,F.C. Barcelona,69 - 79
Euroleague,"Nov 3, 2016",Real Madrid,Galatasaray,90 - 81
Euroleague,"Nov 3, 2016",Olympiacos,CSKA Moscow,75 - 81
Euroleague,"Nov 3, 2016",Brose Bamberg,AX Armani Exchange Milano,106 - 102
Euroleague,"Nov 4, 2016",Anadolu Efes,Panathinaikos,91 - 83
Euroleague,"Nov 4, 2016",Crvena zvezda mts,TD Systems Baskonia,63 - 70
Euroleague,"Nov 4, 2016",Zalgiris,Darussafaka,80 - 83
Euroleague,"Nov 10, 2016",AX Armani Exchange Milano,Anadolu Efes,105 - 92
Euroleague,"Nov 10, 2016",Panathinaikos,Maccabi Playtika Tel Aviv,83 - 75
Euroleague,"Nov 10, 2016",UNICS Kazan,Crvena zvezda mts,65 - 62
Euroleague,"Nov 10, 2016",Darussafaka,Brose Bamberg,72 - 70
Euroleague,"Nov 10, 2016",F.C. Barcelona,Zalgiris,92 - 86
Euroleague,"Nov 11, 2016",TD Systems Baskonia,Fenerbahce,86 - 52
Euroleague,"Nov 11, 2016",Galatasaray,Olympiacos,89 - 87
Euroleague,"Nov 11, 2016",CSKA Moscow,Real Madrid,91 - 90
Euroleague,"Nov 15, 2016",Anadolu Efes,UNICS Kazan,104 - 99
Euroleague,"Nov 15, 2016",Brose Bamberg,Crvena zvezda mts,78 - 79
Euroleague,"Nov 15, 2016",AX Armani Exchange Milano,TD Systems Baskonia,88 - 76
Euroleague,"Nov 15, 2016",Maccabi Playtika Tel Aviv,Fenerbahce,87 - 77
Euroleague,"Nov 16, 2016",Darussafaka,CSKA Moscow,91 - 83
Euroleague,"Nov 16, 2016",Olympiacos,F.C. Barcelona,59 - 52
Euroleague,"Nov 16, 2016",Zalgiris,Galatasaray,87 - 75
Euroleague,"Nov 16, 2016",Real Madrid,Panathinaikos,87 - 84
Euroleague,"Nov 17, 2016",TD Systems Baskonia,Brose Bamberg,81 - 74
Euroleague,"Nov 17, 2016",UNICS Kazan,Maccabi Playtika Tel Aviv,73 - 74
Euroleague,"Nov 17, 2016",Fenerbahce,Anadolu Efes,88 - 80
Euroleague,"Nov 17, 2016",Crvena zvezda mts,AX Armani Exchange Milano,83 - 70
Euroleague,"Nov 18, 2016",Panathinaikos,Olympiacos,77 - 79
