League,Day,Team 1,Team 2,Score
Euroleague,"Oct 15, 2009",Maccabi Playtika Tel Aviv,Petrol Olimpjia,85 - 65
Euroleague,"Oct 21, 2009",Cibona,OnSharing Siena,40 - 85
Euroleague,"Oct 21, 2009",Zalgiris,LDLC ASVEL,71 - 52
Euroleague,"Oct 21, 2009",Fenerbahce,F.C. Barcelona,59 - 82
Euroleague,"Oct 21, 2009",Olympiacos,Orléans,94 - 72
Euroleague,"Oct 21, 2009",Marousi,CSKA Moscow,65 - 66
Euroleague,"Oct 21, 2009",Asseco Arka Gdynia,EWE Baskets Oldenburg,81 - 87
Euroleague,"Oct 22, 2009",Rytas Vilnius,Anadolu Efes,77 - 70
Euroleague,"Oct 22, 2009",Partizan NIS,Unicaja Malaga,64 - 72
Euroleague,"Oct 22, 2009",Virtus Roma,TD Systems Baskonia,77 - 65
Euroleague,"Oct 22, 2009",Khimki Moscow Region,Real Madrid,84 - 81
Euroleague,"Oct 22, 2009",AX Armani Exchange Milano,Panathinaikos,67 - 75
Euroleague,"Oct 28, 2009",LDLC ASVEL,Fenerbahce,76 - 78
Euroleague,"Oct 28, 2009",Unicaja Malaga,Olympiacos,86 - 68
Euroleague,"Oct 28, 2009",CSKA Moscow,Virtus Roma,69 - 74
Euroleague,"Oct 28, 2009",EWE Baskets Oldenburg,AX Armani Exchange Milano,70 - 79
Euroleague,"Oct 28, 2009",Real Madrid,Asseco Arka Gdynia,94 - 72
Euroleague,"Oct 29, 2009",F.C. Barcelona,Cibona,81 - 59
Euroleague,"Oct 29, 2009",OnSharing Siena,Zalgiris,84 - 64
Euroleague,"Oct 29, 2009",Anadolu Efes,Partizan NIS,77 - 67
Euroleague,"Oct 29, 2009",Orléans,Rytas Vilnius,62 - 69
Euroleague,"Oct 29, 2009",TD Systems Baskonia,Maccabi Playtika Tel Aviv,86 - 81
Euroleague,"Oct 29, 2009",Petrol Olimpjia,Marousi,75 - 81
Euroleague,"Oct 29, 2009",Panathinaikos,Khimki Moscow Region,101 - 66
Euroleague,"Nov 4, 2009",LDLC ASVEL,OnSharing Siena,65 - 82
Euroleague,"Nov 4, 2009",Fenerbahce,Cibona,67 - 62
Euroleague,"Nov 4, 2009",Olympiacos,Rytas Vilnius,97 - 73
Euroleague,"Nov 4, 2009",Khimki Moscow Region,EWE Baskets Oldenburg,77 - 72
Euroleague,"Nov 4, 2009",Asseco Arka Gdynia,AX Armani Exchange Milano,88 - 83
Euroleague,"Nov 5, 2009",Zalgiris,F.C. Barcelona,70 - 77
Euroleague,"Nov 5, 2009",Partizan NIS,Orléans,78 - 71
Euroleague,"Nov 5, 2009",Unicaja Malaga,Anadolu Efes,93 - 88
Euroleague,"Nov 5, 2009",Marousi,Virtus Roma,71 - 83
Euroleague,"Nov 5, 2009",Maccabi Playtika Tel Aviv,CSKA Moscow,71 - 54
Euroleague,"Nov 5, 2009",Petrol Olimpjia,TD Systems Baskonia,76 - 82
Euroleague,"Nov 5, 2009",Real Madrid,Panathinaikos,80 - 70
Euroleague,"Nov 11, 2009",Cibona,Zalgiris,64 - 52
Euroleague,"Nov 11, 2009",Fenerbahce,OnSharing Siena,83 - 87
Euroleague,"Nov 11, 2009",F.C. Barcelona,LDLC ASVEL,76 - 62
Euroleague,"Nov 11, 2009",Orléans,Unicaja Malaga,74 - 86
Euroleague,"Nov 11, 2009",Marousi,TD Systems Baskonia,86 - 103
Euroleague,"Nov 11, 2009",CSKA Moscow,Petrol Olimpjia,79 - 69
Euroleague,"Nov 11, 2009",Asseco Arka Gdynia,Panathinaikos,65 - 75
Euroleague,"Nov 11, 2009",EWE Baskets Oldenburg,Real Madrid,61 - 104
Euroleague,"Nov 12, 2009",Rytas Vilnius,Partizan NIS,78 - 56
Euroleague,"Nov 12, 2009",Olympiacos,Anadolu Efes,105 - 90
Euroleague,"Nov 12, 2009",Virtus Roma,Maccabi Playtika Tel Aviv,90 - 92
Euroleague,"Nov 12, 2009",AX Armani Exchange Milano,Khimki Moscow Region,68 - 72
Euroleague,"Nov 25, 2009",Zalgiris,Fenerbahce,78 - 84
Euroleague,"Nov 25, 2009",LDLC ASVEL,Cibona,71 - 68
Euroleague,"Nov 25, 2009",Petrol Olimpjia,Virtus Roma,87 - 70
Euroleague,"Nov 25, 2009",Khimki Moscow Region,Asseco Arka Gdynia,89 - 67
Euroleague,"Nov 25, 2009",Panathinaikos,EWE Baskets Oldenburg,96 - 63
Euroleague,"Nov 26, 2009",OnSharing Siena,F.C. Barcelona,65 - 84
Euroleague,"Nov 26, 2009",Anadolu Efes,Orléans,77 - 64
Euroleague,"Nov 26, 2009",Unicaja Malaga,Rytas Vilnius,91 - 84
Euroleague,"Nov 26, 2009",Partizan NIS,Olympiacos,86 - 80
Euroleague,"Nov 26, 2009",Maccabi Playtika Tel Aviv,Marousi,75 - 67
Euroleague,"Nov 26, 2009",TD Systems Baskonia,CSKA Moscow,67 - 71
Euroleague,"Nov 26, 2009",Real Madrid,AX Armani Exchange Milano,82 - 69
Euroleague,"Dec 2, 2009",Orléans,Olympiacos,84 - 88
Euroleague,"Dec 2, 2009",Unicaja Malaga,Partizan NIS,64 - 72
Euroleague,"Dec 2, 2009",CSKA Moscow,Marousi,78 - 65
Euroleague,"Dec 2, 2009",TD Systems Baskonia,Virtus Roma,67 - 60
Euroleague,"Dec 2, 2009",Panathinaikos,AX Armani Exchange Milano,80 - 68
Euroleague,"Dec 2, 2009",Real Madrid,Khimki Moscow Region,70 - 59
Euroleague,"Dec 3, 2009",OnSharing Siena,Cibona,90 - 64
Euroleague,"Dec 3, 2009",LDLC ASVEL,Zalgiris,77 - 67
Euroleague,"Dec 3, 2009",F.C. Barcelona,Fenerbahce,89 - 55
Euroleague,"Dec 3, 2009",Anadolu Efes,Rytas Vilnius,77 - 62
Euroleague,"Dec 3, 2009",Petrol Olimpjia,Maccabi Playtika Tel Aviv,65 - 82
Euroleague,"Dec 3, 2009",EWE Baskets Oldenburg,Asseco Arka Gdynia,80 - 82
Euroleague,"Dec 9, 2009",Fenerbahce,LDLC ASVEL,61 - 68
Euroleague,"Dec 9, 2009",Rytas Vilnius,Orléans,77 - 72
Euroleague,"Dec 9, 2009",Marousi,Petrol Olimpjia,74 - 62
Euroleague,"Dec 9, 2009",AX Armani Exchange Milano,EWE Baskets Oldenburg,79 - 51
Euroleague,"Dec 9, 2009",Asseco Arka Gdynia,Real Madrid,82 - 76
Euroleague,"Dec 9, 2009",Khimki Moscow Region,Panathinaikos,82 - 87
Euroleague,"Dec 10, 2009",Cibona,F.C. Barcelona,66 - 80
Euroleague,"Dec 10, 2009",Zalgiris,OnSharing Siena,72 - 83
Euroleague,"Dec 10, 2009",Olympiacos,Unicaja Malaga,89 - 68
Euroleague,"Dec 10, 2009",Partizan NIS,Anadolu Efes,93 - 92
Euroleague,"Dec 10, 2009",Virtus Roma,CSKA Moscow,57 - 72
Euroleague,"Dec 10, 2009",Maccabi Playtika Tel Aviv,TD Systems Baskonia,82 - 91
Euroleague,"Dec 16, 2009",OnSharing Siena,LDLC ASVEL,83 - 74
Euroleague,"Dec 16, 2009",Cibona,Fenerbahce,80 - 77
Euroleague,"Dec 16, 2009",Rytas Vilnius,Olympiacos,83 - 89
Euroleague,"Dec 16, 2009",Virtus Roma,Marousi,74 - 87
Euroleague,"Dec 16, 2009",TD Systems Baskonia,Petrol Olimpjia,62 - 53
Euroleague,"Dec 16, 2009",EWE Baskets Oldenburg,Khimki Moscow Region,49 - 62
Euroleague,"Dec 17, 2009",F.C. Barcelona,Zalgiris,89 - 55
Euroleague,"Dec 17, 2009",Orléans,Partizan NIS,75 - 72
Euroleague,"Dec 17, 2009",Anadolu Efes,Unicaja Malaga,77 - 79
Euroleague,"Dec 17, 2009",CSKA Moscow,Maccabi Playtika Tel Aviv,77 - 72
Euroleague,"Dec 17, 2009",AX Armani Exchange Milano,Asseco Arka Gdynia,82 - 69
Euroleague,"Dec 17, 2009",Panathinaikos,Real Madrid,67 - 76
Euroleague,"Jan 6, 2010",OnSharing Siena,Fenerbahce,101 - 58
Euroleague,"Jan 6, 2010",Partizan NIS,Rytas Vilnius,97 - 67
Euroleague,"Jan 6, 2010",TD Systems Baskonia,Marousi,73 - 65
Euroleague,"Jan 6, 2010",Panathinaikos,Asseco Arka Gdynia,74 - 66
Euroleague,"Jan 6, 2010",Real Madrid,EWE Baskets Oldenburg,73 - 60
Euroleague,"Jan 7, 2010",Zalgiris,Cibona,68 - 61
Euroleague,"Jan 7, 2010",LDLC ASVEL,F.C. Barcelona,64 - 90
Euroleague,"Jan 7, 2010",Unicaja Malaga,Orléans,72 - 88
Euroleague,"Jan 7, 2010",Anadolu Efes,Olympiacos,85 - 93
Euroleague,"Jan 7, 2010",Petrol Olimpjia,CSKA Moscow,77 - 80
Euroleague,"Jan 7, 2010",Maccabi Playtika Tel Aviv,Virtus Roma,79 - 59
Euroleague,"Jan 7, 2010",Khimki Moscow Region,AX Armani Exchange Milano,79 - 63
Euroleague,"Jan 13, 2010",Fenerbahce,Zalgiris,68 - 76
Euroleague,"Jan 13, 2010",Cibona,LDLC ASVEL,73 - 71
Euroleague,"Jan 13, 2010",F.C. Barcelona,OnSharing Siena,85 - 70
Euroleague,"Jan 13, 2010",Orléans,Anadolu Efes,60 - 75
Euroleague,"Jan 13, 2010",Rytas Vilnius,Unicaja Malaga,71 - 73
Euroleague,"Jan 13, 2010",Olympiacos,Partizan NIS,81 - 60
Euroleague,"Jan 13, 2010",Virtus Roma,Petrol Olimpjia,69 - 48
Euroleague,"Jan 13, 2010",Marousi,Maccabi Playtika Tel Aviv,83 - 75
Euroleague,"Jan 13, 2010",CSKA Moscow,TD Systems Baskonia,84 - 83
Euroleague,"Jan 13, 2010",Asseco Arka Gdynia,Khimki Moscow Region,75 - 70
Euroleague,"Jan 13, 2010",EWE Baskets Oldenburg,Panathinaikos,64 - 67
Euroleague,"Jan 13, 2010",AX Armani Exchange Milano,Real Madrid,66 - 75
Euroleague,"Jan 27, 2010",Panathinaikos,Partizan NIS,59 - 64
Euroleague,"Jan 27, 2010",F.C. Barcelona,Marousi,79 - 69
Euroleague,"Jan 27, 2010",Real Madrid,Anadolu Efes,77 - 70
Euroleague,"Jan 27, 2010",OnSharing Siena,Maccabi Playtika Tel Aviv,76 - 72
Euroleague,"Jan 27, 2010",CSKA Moscow,Unicaja Malaga,86 - 78
Euroleague,"Jan 27, 2010",Asseco Arka Gdynia,Zalgiris,89 - 65
Euroleague,"Jan 27, 2010",Khimki Moscow Region,Cibona,83 - 70
Euroleague,"Jan 27, 2010",TD Systems Baskonia,Olympiacos,85 - 89
Euroleague,"Feb 3, 2010",Partizan NIS,F.C. Barcelona,67 - 66
Euroleague,"Feb 3, 2010",Anadolu Efes,OnSharing Siena,88 - 78
Euroleague,"Feb 3, 2010",Zalgiris,CSKA Moscow,68 - 83
Euroleague,"Feb 3, 2010",Unicaja Malaga,Asseco Arka Gdynia,50 - 70
Euroleague,"Feb 3, 2010",Olympiacos,Khimki Moscow Region,87 - 69
Euroleague,"Feb 4, 2010",Marousi,Panathinaikos,80 - 78
Euroleague,"Feb 4, 2010",Maccabi Playtika Tel Aviv,Real Madrid,81 - 76
Euroleague,"Feb 4, 2010",Cibona,TD Systems Baskonia,75 - 78
Euroleague,"Feb 10, 2010",CSKA Moscow,Asseco Arka Gdynia,84 - 73
Euroleague,"Feb 10, 2010",Unicaja Malaga,Zalgiris,86 - 68
Euroleague,"Feb 10, 2010",Olympiacos,Cibona,78 - 75
Euroleague,"Feb 11, 2010",Marousi,Partizan NIS,57 - 49
Euroleague,"Feb 11, 2010",F.C. Barcelona,Panathinaikos,83 - 71
Euroleague,"Feb 11, 2010",Maccabi Playtika Tel Aviv,Anadolu Efes,72 - 62
Euroleague,"Feb 11, 2010",OnSharing Siena,Real Madrid,83 - 76
Euroleague,"Feb 11, 2010",TD Systems Baskonia,Khimki Moscow Region,71 - 82
Euroleague,"Feb 24, 2010",Anadolu Efes,Maccabi Playtika Tel Aviv,63 - 56
Euroleague,"Feb 24, 2010",Asseco Arka Gdynia,CSKA Moscow,88 - 81
Euroleague,"Feb 24, 2010",Cibona,Olympiacos,94 - 97
Euroleague,"Feb 25, 2010",Panathinaikos,F.C. Barcelona,67 - 70
Euroleague,"Feb 25, 2010",Partizan NIS,Marousi,79 - 76
Euroleague,"Feb 25, 2010",Real Madrid,OnSharing Siena,77 - 69
Euroleague,"Feb 25, 2010",Zalgiris,Unicaja Malaga,89 - 84
Euroleague,"Feb 25, 2010",Khimki Moscow Region,TD Systems Baskonia,83 - 94
Euroleague,"Mar 3, 2010",Marousi,F.C. Barcelona,58 - 85
Euroleague,"Mar 3, 2010",Zalgiris,Asseco Arka Gdynia,93 - 88
Euroleague,"Mar 3, 2010",Unicaja Malaga,CSKA Moscow,70 - 76
Euroleague,"Mar 3, 2010",Cibona,Khimki Moscow Region,82 - 63
Euroleague,"Mar 4, 2010",Partizan NIS,Panathinaikos,66 - 82
Euroleague,"Mar 4, 2010",Anadolu Efes,Real Madrid,75 - 77
Euroleague,"Mar 4, 2010",Maccabi Playtika Tel Aviv,OnSharing Siena,97 - 82
Euroleague,"Mar 4, 2010",Olympiacos,TD Systems Baskonia,102 - 85
Euroleague,"Mar 11, 2010",F.C. Barcelona,Partizan NIS,82 - 64
Euroleague,"Mar 11, 2010",Panathinaikos,Marousi,82 - 79
Euroleague,"Mar 11, 2010",OnSharing Siena,Anadolu Efes,93 - 87
Euroleague,"Mar 11, 2010",Real Madrid,Maccabi Playtika Tel Aviv,64 - 66
Euroleague,"Mar 11, 2010",CSKA Moscow,Zalgiris,84 - 71
Euroleague,"Mar 11, 2010",Asseco Arka Gdynia,Unicaja Malaga,63 - 82
Euroleague,"Mar 11, 2010",Khimki Moscow Region,Olympiacos,96 - 83
Euroleague,"Mar 11, 2010",TD Systems Baskonia,Cibona,102 - 90
Euroleague,"Mar 23, 2010",F.C. Barcelona,Real Madrid,68 - 61
Euroleague,"Mar 23, 2010",Maccabi Playtika Tel Aviv,Partizan NIS,77 - 85
Euroleague,"Mar 23, 2010",CSKA Moscow,TD Systems Baskonia,86 - 63
Euroleague,"Mar 23, 2010",Olympiacos,Asseco Arka Gdynia,83 - 79
Euroleague,"Mar 25, 2010",F.C. Barcelona,Real Madrid,63 - 70
Euroleague,"Mar 25, 2010",Maccabi Playtika Tel Aviv,Partizan NIS,98 - 78
Euroleague,"Mar 25, 2010",CSKA Moscow,TD Systems Baskonia,83 - 63
Euroleague,"Mar 25, 2010",Olympiacos,Asseco Arka Gdynia,90 - 73
Euroleague,"Mar 30, 2010",Real Madrid,F.C. Barcelona,73 - 84
Euroleague,"Mar 30, 2010",Partizan NIS,Maccabi Playtika Tel Aviv,81 - 73
Euroleague,"Mar 30, 2010",TD Systems Baskonia,CSKA Moscow,66 - 53
Euroleague,"Mar 30, 2010",Asseco Arka Gdynia,Olympiacos,81 - 78
Euroleague,"Apr 1, 2010",Real Madrid,F.C. Barcelona,78 - 84
Euroleague,"Apr 1, 2010",Partizan NIS,Maccabi Playtika Tel Aviv,76 - 67
Euroleague,"Apr 1, 2010",TD Systems Baskonia,CSKA Moscow,70 - 74
Euroleague,"Apr 1, 2010",Asseco Arka Gdynia,Olympiacos,70 - 86
Euroleague,"May 7, 2010",F.C. Barcelona,CSKA Moscow,64 - 54
Euroleague,"May 7, 2010",Partizan NIS,Olympiacos,80 - 83
Euroleague,"May 9, 2010",CSKA Moscow,Partizan NIS,90 - 88
Euroleague,"May 9, 2010",F.C. Barcelona,Olympiacos,86 - 68
