League,Day,Team 1,Team 2,team_A_score,team_B_score,winner_team,Tgames1,Wgames1,Lgames1,W%1,L%1,Ppoints1,Npoints1,PPPWG1,NPPWG1,PPPLG1,NPPLG1,DiffT1,DiffW1,DiffL1,Ratio1,Tgames2,Wgames2,Lgames2,W%2,L%2,Ppoints2,Npoints2,PPPWG2,NPPWG2,PPPLG2,NPPLG2,DiffT2,DiffW2,DiffL2,Ratio2
Euroleague,2021-03-18,Fenerbahce,Zalgiris,0,0,None,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,2,2,50.0,50.0,293,315,80.0,78.5,66.5,79.0,-22,1.5,-12.5,0.9301587301587302
Euroleague,2021-03-18,Zenit St. Petersburg,TD Systems Baskonia,0,0,None,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,2,3,40.0,60.0,401,390,82.5,66.0,78.67,86.0,11,16.5,-7.329999999999998,1.028205128205128
Euroleague,2021-03-12,TD Systems Baskonia,FC Bayern München,0,0,None,6,2,4,33.33,66.67,477,486,82.5,66.0,78.0,88.5,-9,16.5,-10.5,0.9814814814814815,6,4,2,66.67,33.33,474,490,86.75,83.5,63.5,78.0,-16,3.25,-14.5,0.9673469387755103
Euroleague,2021-03-12,Valencia,Fenerbahce,0,0,None,6,2,4,33.33,66.67,503,529,98.0,87.0,76.75,88.75,-26,11.0,-12.0,0.9508506616257089,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Euroleague,2021-03-12,Olympiacos,Zenit St. Petersburg,0,0,None,6,1,5,16.67,83.33,473,497,101.0,93.0,74.4,80.8,-24,8.0,-6.3999999999999915,0.9517102615694165,4,1,3,25.0,75.0,326,337,85.0,78.0,80.33,86.33,-11,7.0,-6.0,0.9673590504451038
Euroleague,2021-03-12,Anadolu Efes,Zalgiris,0,0,None,5,4,1,80.0,20.0,435,379,89.25,73.5,78.0,85.0,56,15.75,-7.0,1.1477572559366755,5,2,3,40.0,60.0,366,398,80.0,78.5,68.67,80.33,-32,1.5,-11.659999999999997,0.9195979899497487
Euroleague,2021-03-11,Panathinaikos,Maccabi Playtika Tel Aviv,0,0,None,5,3,2,60.0,40.0,413,403,91.0,75.67,70.0,88.0,10,15.329999999999998,-18.0,1.0248138957816377,4,2,2,50.0,50.0,339,337,88.5,83.0,81.0,85.5,2,5.5,-4.5,1.0059347181008902
Euroleague,2021-03-11,Crvena zvezda mts,Khimki Moscow Region,0,0,None,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Euroleague,2021-03-11,LDLC ASVEL,Alba Berlin,0,0,None,6,5,1,83.33,16.67,494,465,80.2,72.8,93.0,101.0,29,7.400000000000006,-8.0,1.0623655913978494,6,1,5,16.67,83.33,456,489,84.0,77.0,74.4,82.4,-33,7.0,-8.0,0.9325153374233128
Euroleague,2021-03-11,Real Madrid,F.C. Barcelona,0,0,None,5,3,2,60.0,40.0,377,375,76.33,68.33,74.0,85.0,2,8.0,-11.0,1.0053333333333334,6,5,1,83.33,16.67,494,453,81.6,73.0,86.0,88.0,41,8.599999999999994,-2.0,1.0905077262693157
Euroleague,2021-03-11,CSKA Moscow,AX Armani Exchange Milano,0,0,None,6,2,4,33.33,66.67,481,492,77.0,70.5,81.75,87.75,-11,6.5,-6.0,0.9776422764227642,5,4,1,80.0,20.0,400,354,82.75,69.0,69.0,78.0,46,13.75,-9.0,1.1299435028248588
Euroleague,2021-03-05,LDLC ASVEL,Fenerbahce,0,0,None,7,5,2,71.43,28.57,565,553,80.2,72.8,82.0,94.5,12,7.400000000000006,-12.5,1.0216998191681737,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Euroleague,2021-03-05,F.C. Barcelona,TD Systems Baskonia,0,0,None,7,6,1,85.71,14.29,583,525,82.83,72.83,86.0,88.0,58,10.0,-2.0,1.1104761904761904,7,3,4,42.86,57.14,572,579,86.67,75.0,78.0,88.5,-7,11.670000000000002,-10.5,0.9879101899827288
Euroleague,2021-03-05,Zalgiris,AX Armani Exchange Milano,0,0,None,6,3,3,50.0,50.0,468,473,87.33,77.33,68.67,80.33,-5,10.0,-11.659999999999997,0.9894291754756871,6,5,1,83.33,16.67,495,434,85.2,71.2,69.0,78.0,61,14.0,-9.0,1.140552995391705
Euroleague,2021-03-05,Olympiacos,Crvena zvezda mts,0,0,None,7,2,5,28.57,71.43,562,584,95.0,90.0,74.4,80.8,-22,5.0,-6.3999999999999915,0.9623287671232876,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Euroleague,2021-03-05,Khimki Moscow Region,Alba Berlin,0,0,None,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,1,6,14.29,85.71,529,574,84.0,77.0,74.17,82.83,-45,7.0,-8.659999999999997,0.921602787456446
Euroleague,2021-03-04,Anadolu Efes,CSKA Moscow,0,0,None,6,5,1,83.33,16.67,537,459,91.8,74.8,78.0,85.0,78,17.0,-7.0,1.1699346405228759,7,2,5,28.57,71.43,574,587,77.0,70.5,84.0,89.2,-13,6.5,-5.200000000000003,0.9778534923339012
Euroleague,2021-03-04,FC Bayern München,Panathinaikos,0,0,None,7,4,3,57.14,42.86,556,574,86.75,83.5,69.67,80.0,-18,3.25,-10.329999999999998,0.9686411149825784,6,4,2,66.67,33.33,501,474,90.25,74.5,70.0,88.0,27,15.75,-18.0,1.0569620253164558
Euroleague,2021-03-04,Zenit St. Petersburg,Real Madrid,0,0,None,5,2,3,40.0,60.0,403,402,81.0,71.5,80.33,86.33,1,9.5,-6.0,1.0024875621890548,6,3,3,50.0,50.0,453,455,76.33,68.33,74.67,83.33,-2,8.0,-8.659999999999997,0.9956043956043956
Euroleague,2021-03-04,Maccabi Playtika Tel Aviv,Khimki Moscow Region,0,0,None,6,3,3,50.0,50.0,496,488,87.33,79.67,78.0,83.0,8,7.659999999999997,-5.0,1.0163934426229508,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Euroleague,2021-03-04,Maccabi Playtika Tel Aviv,Valencia,0,0,None,6,3,3,50.0,50.0,496,488,87.33,79.67,78.0,83.0,8,7.659999999999997,-5.0,1.0163934426229508,7,2,5,28.57,71.43,575,618,98.0,87.0,75.8,88.8,-43,11.0,-13.0,0.93042071197411
Euroleague,2021-03-04,Zalgiris,Crvena zvezda mts,0,0,None,7,4,3,57.14,42.86,542,544,84.0,75.75,68.67,80.33,-2,8.25,-11.659999999999997,0.9963235294117647,6,1,5,16.67,83.33,426,474,74.0,71.0,70.4,80.6,-48,3.0,-10.199999999999989,0.8987341772151899
Euroleague,2021-03-03,TD Systems Baskonia,Olympiacos,0,0,None,8,3,5,37.5,62.5,663,674,86.67,75.0,80.6,89.8,-11,11.670000000000002,-9.200000000000003,0.983679525222552,8,3,5,37.5,62.5,646,666,91.33,87.33,74.4,80.8,-20,4.0,-6.3999999999999915,0.96996996996997
