League,Day,Team 1,Team 2,Score
Euroleague,"Oct 16, 2013",Brose Bamberg,Strasbourg,84 - 70
Euroleague,"Oct 16, 2013",OnSharing Siena,Galatasaray,75 - 84
Euroleague,"Oct 17, 2013",Budivelnyk Kyiv,Fenerbahce,84 - 102
Euroleague,"Oct 17, 2013",Nanterre 92,CSKA Moscow,59 - 62
Euroleague,"Oct 17, 2013",F.C. Barcelona,Partizan NIS,67 - 60
Euroleague,"Oct 17, 2013",Anadolu Efes,AX Armani Exchange Milano,87 - 67
Euroleague,"Oct 17, 2013",Crvena zvezda mts,Lokomotiv Kuban,84 - 87
Euroleague,"Oct 17, 2013",Rytas Vilnius,Panathinaikos,84 - 83
Euroleague,"Oct 17, 2013",TD Systems Baskonia,Maccabi Playtika Tel Aviv,84 - 80
Euroleague,"Oct 18, 2013",Zalgiris,Real Madrid,63 - 83
Euroleague,"Oct 18, 2013",Enea Zastal BC Zielona Góra,FC Bayern München,73 - 94
Euroleague,"Oct 18, 2013",Olympiacos,Unicaja Malaga,69 - 61
Euroleague,"Oct 24, 2013",CSKA Moscow,Budivelnyk Kyiv,72 - 67
Euroleague,"Oct 24, 2013",Partizan NIS,Nanterre 92,73 - 43
Euroleague,"Oct 24, 2013",Fenerbahce,F.C. Barcelona,75 - 70
Euroleague,"Oct 24, 2013",AX Armani Exchange Milano,Zalgiris,82 - 75
Euroleague,"Oct 24, 2013",Real Madrid,Brose Bamberg,98 - 58
Euroleague,"Oct 24, 2013",Strasbourg,Anadolu Efes,66 - 76
Euroleague,"Oct 24, 2013",Galatasaray,Olympiacos,67 - 78
Euroleague,"Oct 24, 2013",FC Bayern München,OnSharing Siena,89 - 79
Euroleague,"Oct 24, 2013",Unicaja Malaga,Enea Zastal BC Zielona Góra,101 - 68
Euroleague,"Oct 24, 2013",Lokomotiv Kuban,Rytas Vilnius,68 - 53
Euroleague,"Oct 24, 2013",Maccabi Playtika Tel Aviv,Crvena zvezda mts,96 - 82
Euroleague,"Oct 24, 2013",Panathinaikos,TD Systems Baskonia,95 - 74
Euroleague,"Oct 30, 2013",Budivelnyk Kyiv,Partizan NIS,74 - 69
Euroleague,"Oct 30, 2013",Fenerbahce,CSKA Moscow,86 - 60
Euroleague,"Oct 30, 2013",F.C. Barcelona,Nanterre 92,67 - 71
Euroleague,"Oct 30, 2013",Zalgiris,Strasbourg,88 - 64
Euroleague,"Oct 30, 2013",Brose Bamberg,Anadolu Efes,88 - 86
Euroleague,"Oct 30, 2013",Real Madrid,AX Armani Exchange Milano,93 - 74
Euroleague,"Oct 30, 2013",Unicaja Malaga,Galatasaray,84 - 57
Euroleague,"Oct 30, 2013",Olympiacos,FC Bayern München,88 - 83
Euroleague,"Oct 30, 2013",Enea Zastal BC Zielona Góra,OnSharing Siena,73 - 65
Euroleague,"Oct 30, 2013",Rytas Vilnius,TD Systems Baskonia,64 - 85
Euroleague,"Oct 30, 2013",Crvena zvezda mts,Panathinaikos,86 - 90
Euroleague,"Nov 1, 2013",Lokomotiv Kuban,Maccabi Playtika Tel Aviv,58 - 73
Euroleague,"Nov 5, 2013",F.C. Barcelona,CSKA Moscow,79 - 70
Euroleague,"Nov 7, 2013",Anadolu Efes,Zalgiris,72 - 61
Euroleague,"Nov 7, 2013",Brose Bamberg,AX Armani Exchange Milano,62 - 76
Euroleague,"Nov 7, 2013",Strasbourg,Real Madrid,66 - 85
Euroleague,"Nov 7, 2013",Rytas Vilnius,Maccabi Playtika Tel Aviv,74 - 76
Euroleague,"Nov 7, 2013",Panathinaikos,Lokomotiv Kuban,69 - 72
Euroleague,"Nov 7, 2013",TD Systems Baskonia,Crvena zvezda mts,63 - 73
Euroleague,"Nov 8, 2013",Partizan NIS,Fenerbahce,78 - 88
Euroleague,"Nov 8, 2013",Nanterre 92,Budivelnyk Kyiv,80 - 61
Euroleague,"Nov 8, 2013",Enea Zastal BC Zielona Góra,Galatasaray,75 - 78
Euroleague,"Nov 8, 2013",FC Bayern München,Unicaja Malaga,82 - 68
Euroleague,"Nov 8, 2013",OnSharing Siena,Olympiacos,62 - 70
Euroleague,"Nov 13, 2013",Fenerbahce,Nanterre 92,83 - 66
Euroleague,"Nov 13, 2013",Budivelnyk Kyiv,F.C. Barcelona,74 - 84
Euroleague,"Nov 13, 2013",CSKA Moscow,Partizan NIS,88 - 46
Euroleague,"Nov 13, 2013",Real Madrid,Anadolu Efes,103 - 57
Euroleague,"Nov 13, 2013",Zalgiris,Brose Bamberg,91 - 81
Euroleague,"Nov 13, 2013",AX Armani Exchange Milano,Strasbourg,83 - 72
Euroleague,"Nov 13, 2013",Unicaja Malaga,OnSharing Siena,73 - 75
Euroleague,"Nov 13, 2013",Olympiacos,Enea Zastal BC Zielona Góra,79 - 77
Euroleague,"Nov 13, 2013",Galatasaray,FC Bayern München,84 - 74
Euroleague,"Nov 13, 2013",Lokomotiv Kuban,TD Systems Baskonia,85 - 84
Euroleague,"Nov 13, 2013",Maccabi Playtika Tel Aviv,Panathinaikos,75 - 68
