League,Day,Team 1,Team 2,Score
Euroleague,"Oct 1, 2020",Anadolu Efes,Zenit St. Petersburg,69 - 73
Euroleague,"Oct 1, 2020",Olympiacos,Zalgiris,67 - 68
Euroleague,"Oct 1, 2020",Maccabi Playtika Tel Aviv,Alba Berlin,80 - 73
Euroleague,"Oct 1, 2020",F.C. Barcelona,CSKA Moscow,76 - 66
Euroleague,"Oct 1, 2020",Valencia,LDLC ASVEL,65 - 63
Euroleague,"Oct 2, 2020",Fenerbahce,Crvena zvezda mts,77 - 63
Euroleague,"Oct 2, 2020",Khimki Moscow Region,Panathinaikos,76 - 78
Euroleague,"Oct 2, 2020",FC Bayern München,AX Armani Exchange Milano,79 - 81
Euroleague,"Oct 2, 2020",TD Systems Baskonia,Real Madrid,76 - 63
Euroleague,"Oct 8, 2020",CSKA Moscow,Maccabi Playtika Tel Aviv,76 - 72
Euroleague,"Oct 8, 2020",Anadolu Efes,Fenerbahce,71 - 80
Euroleague,"Oct 8, 2020",Real Madrid,Valencia,77 - 93
Euroleague,"Oct 9, 2020",Crvena zvezda mts,TD Systems Baskonia,90 - 73
Euroleague,"Oct 9, 2020",Zenit St. Petersburg,F.C. Barcelona,74 - 70
Euroleague,"Oct 9, 2020",Alba Berlin,FC Bayern München,72 - 90
Euroleague,"Oct 9, 2020",AX Armani Exchange Milano,LDLC ASVEL,87 - 73
Euroleague,"Oct 9, 2020",Panathinaikos,Olympiacos,71 - 78
Euroleague,"Oct 10, 2020",Khimki Moscow Region,Zalgiris,70 - 84
Euroleague,"Oct 13, 2020",Crvena zvezda mts,Zalgiris,69 - 75
Euroleague,"Oct 13, 2020",Alba Berlin,Anadolu Efes,72 - 93
Euroleague,"Oct 13, 2020",Valencia,F.C. Barcelona,66 - 71
Euroleague,"Oct 14, 2020",Fenerbahce,CSKA Moscow,77 - 78
Euroleague,"Oct 14, 2020",Olympiacos,AX Armani Exchange Milano,86 - 75
Euroleague,"Oct 14, 2020",Maccabi Playtika Tel Aviv,FC Bayern München,82 - 85
Euroleague,"Oct 14, 2020",Real Madrid,Khimki Moscow Region,94 - 85
Euroleague,"Nov 23, 2020",TD Systems Baskonia,Zenit St. Petersburg,70 - 77
Euroleague,"Dec 1, 2020",LDLC ASVEL,Panathinaikos,97 - 73
Euroleague,"Oct 15, 2020",Zalgiris,Anadolu Efes,89 - 73
Euroleague,"Oct 15, 2020",F.C. Barcelona,Panathinaikos,97 - 89
Euroleague,"Oct 16, 2020",CSKA Moscow,Alba Berlin,88 - 93
Euroleague,"Oct 16, 2020",Fenerbahce,FC Bayern München,71 - 75
Euroleague,"Oct 16, 2020",AX Armani Exchange Milano,Real Madrid,78 - 70
Euroleague,"Oct 16, 2020",Olympiacos,Maccabi Playtika Tel Aviv,85 - 82
Euroleague,"Oct 16, 2020",TD Systems Baskonia,Khimki Moscow Region,77 - 60
Euroleague,"Nov 11, 2020",LDLC ASVEL,Crvena zvezda mts,68 - 89
Euroleague,"Dec 8, 2020",Valencia,Zenit St. Petersburg,72 - 85
Euroleague,"Oct 22, 2020",Zalgiris,Valencia,82 - 94
Euroleague,"Oct 22, 2020",Panathinaikos,Fenerbahce,82 - 68
Euroleague,"Oct 22, 2020",Crvena zvezda mts,CSKA Moscow,86 - 84
Euroleague,"Oct 23, 2020",Khimki Moscow Region,Maccabi Playtika Tel Aviv,87 - 89
Euroleague,"Oct 23, 2020",FC Bayern München,Olympiacos,74 - 68
Euroleague,"Oct 23, 2020",F.C. Barcelona,Real Madrid,79 - 72
Euroleague,"Dec 8, 2020",Anadolu Efes,LDLC ASVEL,72 - 68
Euroleague,"Jan 5, 2021",Alba Berlin,TD Systems Baskonia,95 - 91
Euroleague,"Feb 22, 2021",Zenit St. Petersburg,AX Armani Exchange Milano,
Euroleague,"Oct 29, 2020",LDLC ASVEL,Zalgiris,74 - 83
Euroleague,"Oct 29, 2020",CSKA Moscow,Valencia,84 - 75
Euroleague,"Oct 29, 2020",Maccabi Playtika Tel Aviv,Fenerbahce,65 - 75
Euroleague,"Oct 29, 2020",Real Madrid,FC Bayern München,100 - 82
Euroleague,"Oct 30, 2020",Khimki Moscow Region,Crvena zvezda mts,83 - 77
Euroleague,"Oct 30, 2020",Olympiacos,Anadolu Efes,79 - 84
Euroleague,"Oct 30, 2020",TD Systems Baskonia,F.C. Barcelona,71 - 72
Euroleague,"Dec 1, 2020",AX Armani Exchange Milano,Alba Berlin,75 - 55
