League,Day,Team 1,Team 2,Score
Euroleague,"Oct 25, 2006",Aris BC,Fenerbahce,66 - 58
Euroleague,"Oct 25, 2006",Cibona,Petrol Olimpjia,77 - 61
Euroleague,"Oct 25, 2006",Dynamo Moskow,Koln 99ers,75 - 68
Euroleague,"Oct 25, 2006",Anadolu Efes,Asseco Arka Gdynia,71 - 67
Euroleague,"Oct 25, 2006",Joventut Badalona,Panathinaikos,79 - 82
Euroleague,"Oct 25, 2006",Le Mans,Fortitudo Lavoropiù Bologna,82 - 71
Euroleague,"Oct 25, 2006",Azzurro Napoli,CSKA Moscow,64 - 74
Euroleague,"Oct 25, 2006",Olympiacos,TD Systems Baskonia,97 - 78
Euroleague,"Oct 25, 2006",Pau-Lacq-Orthez,F.C. Barcelona,66 - 72
Euroleague,"Oct 25, 2006",Virtus Roma,Partizan NIS,65 - 60
Euroleague,"Oct 25, 2006",Maccabi Playtika Tel Aviv,Unicaja Malaga,106 - 101
Euroleague,"Oct 25, 2006",Benetton Treviso,Zalgiris,95 - 82
Euroleague,"Nov 1, 2006",F.C. Barcelona,Benetton Treviso,82 - 69
Euroleague,"Nov 1, 2006",TD Systems Baskonia,Dynamo Moskow,77 - 61
Euroleague,"Nov 1, 2006",Koln 99ers,Anadolu Efes,68 - 82
Euroleague,"Nov 1, 2006",CSKA Moscow,Aris BC,83 - 68
Euroleague,"Nov 1, 2006",Fortitudo Lavoropiù Bologna,Olympiacos,86 - 93
Euroleague,"Nov 1, 2006",Petrol Olimpjia,Virtus Roma,83 - 72
Euroleague,"Nov 1, 2006",Unicaja Malaga,Joventut Badalona,66 - 68
Euroleague,"Nov 1, 2006",Panathinaikos,Cibona,86 - 69
Euroleague,"Nov 1, 2006",Partizan NIS,Maccabi Playtika Tel Aviv,103 - 91
Euroleague,"Nov 1, 2006",Asseco Arka Gdynia,Le Mans,69 - 67
Euroleague,"Nov 1, 2006",Fenerbahce,Pau-Lacq-Orthez,66 - 68
