League,Day,Team 1,Team 2,Score
Euroleague,"Oct 15, 2014",TD Systems Baskonia,Neptunas,88 - 69
Euroleague,"Oct 16, 2014",Anadolu Efes,UNICS Kazan,82 - 76
Euroleague,"Oct 16, 2014",Cedevita Olimpija,Unicaja Malaga,63 - 78
Euroleague,"Oct 16, 2014",Maccabi Playtika Tel Aviv,Limoges CSP,92 - 76
Euroleague,"Oct 16, 2014",Crvena zvezda mts,Galatasaray,76 - 68
Euroleague,"Oct 16, 2014",Valencia,Olympiacos,68 - 71
Euroleague,"Oct 17, 2014",Nizhny Novgorod,Banco di Sardegna Sassari,88 - 86
Euroleague,"Oct 17, 2014",Real Madrid,Zalgiris,80 - 71
Euroleague,"Oct 17, 2014",Alba Berlin,CSKA Moscow,68 - 84
Euroleague,"Oct 17, 2014",Panathinaikos,PGE Turow,84 - 77
Euroleague,"Oct 17, 2014",Fenerbahce,AX Armani Exchange Milano,77 - 74
Euroleague,"Oct 17, 2014",F.C. Barcelona,FC Bayern München,83 - 81
Euroleague,"Oct 23, 2014",CSKA Moscow,Maccabi Playtika Tel Aviv,99 - 80
Euroleague,"Oct 23, 2014",FC Bayern München,Panathinaikos,81 - 75
Euroleague,"Oct 23, 2014",PGE Turow,Fenerbahce,76 - 91
Euroleague,"Oct 23, 2014",AX Armani Exchange Milano,F.C. Barcelona,63 - 78
Euroleague,"Oct 23, 2014",Neptunas,Crvena zvezda mts,83 - 81
Euroleague,"Oct 23, 2014",Galatasaray,Valencia,71 - 64
Euroleague,"Oct 24, 2014",UNICS Kazan,Real Madrid,75 - 76
Euroleague,"Oct 24, 2014",Zalgiris,Nizhny Novgorod,97 - 63
Euroleague,"Oct 24, 2014",Banco di Sardegna Sassari,Anadolu Efes,75 - 82
Euroleague,"Oct 24, 2014",Limoges CSP,Cedevita Olimpija,71 - 60
Euroleague,"Oct 24, 2014",Unicaja Malaga,Alba Berlin,87 - 84
Euroleague,"Oct 24, 2014",Olympiacos,TD Systems Baskonia,63 - 57
Euroleague,"Oct 30, 2014",UNICS Kazan,Banco di Sardegna Sassari,85 - 62
Euroleague,"Oct 30, 2014",Anadolu Efes,Zalgiris,62 - 65
Euroleague,"Oct 30, 2014",Real Madrid,Nizhny Novgorod,112 - 83
Euroleague,"Oct 30, 2014",Alba Berlin,Maccabi Playtika Tel Aviv,69 - 84
Euroleague,"Oct 30, 2014",Panathinaikos,Fenerbahce,91 - 73
Euroleague,"Oct 30, 2014",Crvena zvezda mts,Valencia,76 - 63
Euroleague,"Oct 31, 2014",Cedevita Olimpija,CSKA Moscow,72 - 76
Euroleague,"Oct 31, 2014",Unicaja Malaga,Limoges CSP,75 - 69
Euroleague,"Oct 31, 2014",FC Bayern München,AX Armani Exchange Milano,74 - 81
Euroleague,"Oct 31, 2014",F.C. Barcelona,PGE Turow,86 - 67
Euroleague,"Oct 31, 2014",Neptunas,Olympiacos,81 - 85
Euroleague,"Oct 31, 2014",TD Systems Baskonia,Galatasaray,91 - 90
Euroleague,"Nov 5, 2014",Real Madrid,Banco di Sardegna Sassari,115 - 94
Euroleague,"Nov 6, 2014",Nizhny Novgorod,Anadolu Efes,66 - 76
Euroleague,"Nov 6, 2014",Zalgiris,UNICS Kazan,77 - 71
Euroleague,"Nov 6, 2014",Maccabi Playtika Tel Aviv,Cedevita Olimpija,73 - 83
Euroleague,"Nov 6, 2014",PGE Turow,FC Bayern München,89 - 78
Euroleague,"Nov 6, 2014",Fenerbahce,F.C. Barcelona,78 - 80
Euroleague,"Nov 7, 2014",CSKA Moscow,Unicaja Malaga,95 - 85
Euroleague,"Nov 7, 2014",Alba Berlin,Limoges CSP,89 - 66
Euroleague,"Nov 7, 2014",Panathinaikos,AX Armani Exchange Milano,90 - 63
Euroleague,"Nov 7, 2014",Crvena zvezda mts,Olympiacos,57 - 62
Euroleague,"Nov 7, 2014",Valencia,TD Systems Baskonia,79 - 69
Euroleague,"Nov 7, 2014",Galatasaray,Neptunas,94 - 68
Euroleague,"Nov 13, 2014",Unicaja Malaga,Maccabi Playtika Tel Aviv,66 - 70
Euroleague,"Nov 13, 2014",FC Bayern München,Fenerbahce,86 - 93
Euroleague,"Nov 13, 2014",AX Armani Exchange Milano,PGE Turow,90 - 71
Euroleague,"Nov 13, 2014",Neptunas,Valencia,94 - 87
Euroleague,"Nov 13, 2014",TD Systems Baskonia,Crvena zvezda mts,66 - 86
Euroleague,"Nov 13, 2014",Olympiacos,Galatasaray,93 - 66
Euroleague,"Nov 13, 2014",UNICS Kazan,Nizhny Novgorod,73 - 79
Euroleague,"Nov 14, 2014",Anadolu Efes,Real Madrid,75 - 73
Euroleague,"Nov 14, 2014",Banco di Sardegna Sassari,Zalgiris,92 - 80
Euroleague,"Nov 14, 2014",Cedevita Olimpija,Alba Berlin,67 - 80
Euroleague,"Nov 14, 2014",Limoges CSP,CSKA Moscow,76 - 86
Euroleague,"Nov 14, 2014",F.C. Barcelona,Panathinaikos,78 - 69
Euroleague,"Nov 18, 2014",UNICS Kazan,Anadolu Efes,67 - 64
Euroleague,"Nov 18, 2014",Limoges CSP,Maccabi Playtika Tel Aviv,73 - 79
Euroleague,"Nov 18, 2014",CSKA Moscow,Alba Berlin,95 - 66
Euroleague,"Nov 18, 2014",PGE Turow,Panathinaikos,69 - 79
Euroleague,"Nov 18, 2014",AX Armani Exchange Milano,Fenerbahce,74 - 80
Euroleague,"Nov 18, 2014",FC Bayern München,F.C. Barcelona,77 - 99
Euroleague,"Nov 18, 2014",Neptunas,TD Systems Baskonia,80 - 79
Euroleague,"Nov 18, 2014",Olympiacos,Valencia,77 - 76
Euroleague,"Nov 19, 2014",Banco di Sardegna Sassari,Nizhny Novgorod,82 - 89
Euroleague,"Nov 19, 2014",Zalgiris,Real Madrid,66 - 68
Euroleague,"Nov 19, 2014",Unicaja Malaga,Cedevita Olimpija,82 - 73
Euroleague,"Nov 19, 2014",Galatasaray,Crvena zvezda mts,110 - 103
Euroleague,"Nov 27, 2014",Real Madrid,UNICS Kazan,75 - 85
Euroleague,"Nov 27, 2014",Maccabi Playtika Tel Aviv,CSKA Moscow,61 - 84
Euroleague,"Nov 27, 2014",Alba Berlin,Unicaja Malaga,79 - 78
Euroleague,"Nov 27, 2014",Fenerbahce,PGE Turow,89 - 74
Euroleague,"Nov 27, 2014",Crvena zvezda mts,Neptunas,79 - 62
Euroleague,"Nov 27, 2014",TD Systems Baskonia,Olympiacos,89 - 70
Euroleague,"Nov 28, 2014",Nizhny Novgorod,Zalgiris,55 - 61
Euroleague,"Nov 28, 2014",Anadolu Efes,Banco di Sardegna Sassari,85 - 62
Euroleague,"Nov 28, 2014",Cedevita Olimpija,Limoges CSP,102 - 83
Euroleague,"Nov 28, 2014",Panathinaikos,FC Bayern München,87 - 72
Euroleague,"Nov 28, 2014",F.C. Barcelona,AX Armani Exchange Milano,84 - 80
Euroleague,"Nov 28, 2014",Valencia,Galatasaray,78 - 71
Euroleague,"Dec 3, 2014",AX Armani Exchange Milano,FC Bayern München,83 - 81
Euroleague,"Dec 4, 2014",Banco di Sardegna Sassari,UNICS Kazan,68 - 72
Euroleague,"Dec 4, 2014",Zalgiris,Anadolu Efes,57 - 66
Euroleague,"Dec 4, 2014",Nizhny Novgorod,Real Madrid,98 - 101
Euroleague,"Dec 4, 2014",Maccabi Playtika Tel Aviv,Alba Berlin,95 - 89
Euroleague,"Dec 4, 2014",Limoges CSP,Unicaja Malaga,67 - 64
Euroleague,"Dec 4, 2014",Fenerbahce,Panathinaikos,84 - 62
Euroleague,"Dec 5, 2014",CSKA Moscow,Cedevita Olimpija,97 - 79
Euroleague,"Dec 5, 2014",PGE Turow,F.C. Barcelona,65 - 104
Euroleague,"Dec 5, 2014",Valencia,Crvena zvezda mts,68 - 77
Euroleague,"Dec 5, 2014",Olympiacos,Neptunas,89 - 79
Euroleague,"Dec 5, 2014",Galatasaray,TD Systems Baskonia,82 - 89
Euroleague,"Dec 10, 2014",Neptunas,Galatasaray,82 - 72
Euroleague,"Dec 11, 2014",Cedevita Olimpija,Maccabi Playtika Tel Aviv,71 - 82
Euroleague,"Dec 11, 2014",Unicaja Malaga,CSKA Moscow,75 - 76
Euroleague,"Dec 11, 2014",FC Bayern München,PGE Turow,95 - 89
Euroleague,"Dec 11, 2014",AX Armani Exchange Milano,Panathinaikos,66 - 64
Euroleague,"Dec 11, 2014",F.C. Barcelona,Fenerbahce,89 - 91
Euroleague,"Dec 12, 2014",Banco di Sardegna Sassari,Real Madrid,58 - 83
Euroleague,"Dec 12, 2014",Anadolu Efes,Nizhny Novgorod,61 - 65
Euroleague,"Dec 12, 2014",UNICS Kazan,Zalgiris,73 - 60
Euroleague,"Dec 12, 2014",Limoges CSP,Alba Berlin,65 - 71
Euroleague,"Dec 12, 2014",Olympiacos,Crvena zvezda mts,64 - 59
Euroleague,"Dec 12, 2014",TD Systems Baskonia,Valencia,93 - 89
Euroleague,"Dec 18, 2014",Real Madrid,Anadolu Efes,90 - 70
Euroleague,"Dec 18, 2014",Maccabi Playtika Tel Aviv,Unicaja Malaga,81 - 73
Euroleague,"Dec 18, 2014",CSKA Moscow,Limoges CSP,88 - 56
Euroleague,"Dec 18, 2014",PGE Turow,AX Armani Exchange Milano,96 - 101
Euroleague,"Dec 18, 2014",Valencia,Neptunas,103 - 65
Euroleague,"Dec 18, 2014",Galatasaray,Olympiacos,79 - 74
Euroleague,"Dec 19, 2014",Nizhny Novgorod,UNICS Kazan,78 - 74
Euroleague,"Dec 19, 2014",Zalgiris,Banco di Sardegna Sassari,80 - 79
Euroleague,"Dec 19, 2014",Alba Berlin,Cedevita Olimpija,67 - 70
Euroleague,"Dec 19, 2014",Fenerbahce,FC Bayern München,87 - 81
Euroleague,"Dec 19, 2014",Panathinaikos,F.C. Barcelona,67 - 80
Euroleague,"Dec 19, 2014",Crvena zvezda mts,TD Systems Baskonia,90 - 82
Euroleague,"Dec 30, 2014",Galatasaray,Zalgiris,78 - 69
Euroleague,"Dec 30, 2014",Panathinaikos,Maccabi Playtika Tel Aviv,83 - 76
Euroleague,"Jan 2, 2015",Crvena zvezda mts,Real Madrid,72 - 79
Euroleague,"Jan 2, 2015",Alba Berlin,F.C. Barcelona,80 - 70
Euroleague,"Jan 2, 2015",Fenerbahce,CSKA Moscow,81 - 84
Euroleague,"Jan 2, 2015",TD Systems Baskonia,Anadolu Efes,67 - 72
Euroleague,"Jan 2, 2015",AX Armani Exchange Milano,Nizhny Novgorod,59 - 79
Euroleague,"Jan 2, 2015",Unicaja Malaga,Olympiacos,61 - 69
Euroleague,"Jan 6, 2015",Real Madrid,Galatasaray,93 - 78
Euroleague,"Jan 8, 2015",Maccabi Playtika Tel Aviv,Crvena zvezda mts,78 - 67
Euroleague,"Jan 8, 2015",CSKA Moscow,TD Systems Baskonia,99 - 90
Euroleague,"Jan 8, 2015",Olympiacos,AX Armani Exchange Milano,81 - 58
Euroleague,"Jan 9, 2015",Zalgiris,Alba Berlin,75 - 62
Euroleague,"Jan 9, 2015",F.C. Barcelona,Panathinaikos,80 - 76
Euroleague,"Jan 9, 2015",Nizhny Novgorod,Fenerbahce,60 - 78
Euroleague,"Jan 9, 2015",Anadolu Efes,Unicaja Malaga,74 - 70
Euroleague,"Jan 13, 2015",Alba Berlin,Real Madrid,61 - 79
Euroleague,"Jan 15, 2015",Maccabi Playtika Tel Aviv,F.C. Barcelona,70 - 68
Euroleague,"Jan 15, 2015",Anadolu Efes,CSKA Moscow,69 - 78
Euroleague,"Jan 16, 2015",Crvena zvezda mts,Galatasaray,65 - 74
Euroleague,"Jan 16, 2015",Panathinaikos,Zalgiris,77 - 58
Euroleague,"Jan 16, 2015",Fenerbahce,Olympiacos,68 - 74
Euroleague,"Jan 16, 2015",TD Systems Baskonia,Nizhny Novgorod,81 - 74
Euroleague,"Jan 16, 2015",Unicaja Malaga,AX Armani Exchange Milano,77 - 84
Euroleague,"Jan 22, 2015",Real Madrid,Panathinaikos,83 - 65
Euroleague,"Jan 22, 2015",Galatasaray,Alba Berlin,65 - 75
Euroleague,"Jan 22, 2015",CSKA Moscow,Unicaja Malaga,101 - 74
Euroleague,"Jan 22, 2015",AX Armani Exchange Milano,Fenerbahce,71 - 82
Euroleague,"Jan 23, 2015",Zalgiris,Maccabi Playtika Tel Aviv,66 - 73
Euroleague,"Jan 23, 2015",Olympiacos,TD Systems Baskonia,76 - 64
Euroleague,"Jan 23, 2015",Nizhny Novgorod,Anadolu Efes,109 - 90
Euroleague,"Jan 23, 2015",F.C. Barcelona,Crvena zvezda mts,92 - 77
Euroleague,"Jan 28, 2015",Maccabi Playtika Tel Aviv,Real Madrid,90 - 86
Euroleague,"Jan 29, 2015",Crvena zvezda mts,Alba Berlin,86 - 69
Euroleague,"Jan 29, 2015",CSKA Moscow,Nizhny Novgorod,103 - 95
Euroleague,"Jan 29, 2015",TD Systems Baskonia,AX Armani Exchange Milano,102 - 83
Euroleague,"Jan 29, 2015",Anadolu Efes,Olympiacos,84 - 70
Euroleague,"Jan 30, 2015",F.C. Barcelona,Zalgiris,89 - 72
Euroleague,"Jan 30, 2015",Panathinaikos,Galatasaray,86 - 77
Euroleague,"Jan 30, 2015",Unicaja Malaga,Fenerbahce,60 - 68
Euroleague,"Feb 5, 2015",Olympiacos,CSKA Moscow,84 - 76
Euroleague,"Feb 5, 2015",Real Madrid,F.C. Barcelona,97 - 73
Euroleague,"Feb 5, 2015",Galatasaray,Maccabi Playtika Tel Aviv,94 - 97
Euroleague,"Feb 5, 2015",Crvena zvezda mts,Zalgiris,68 - 70
Euroleague,"Feb 6, 2015",Alba Berlin,Panathinaikos,59 - 65
Euroleague,"Feb 6, 2015",AX Armani Exchange Milano,Anadolu Efes,71 - 73
Euroleague,"Feb 6, 2015",Fenerbahce,TD Systems Baskonia,91 - 90
Euroleague,"Feb 6, 2015",Unicaja Malaga,Nizhny Novgorod,85 - 76
Euroleague,"Feb 10, 2015",Zalgiris,Real Madrid,71 - 88
Euroleague,"Feb 12, 2015",Nizhny Novgorod,Olympiacos,82 - 91
Euroleague,"Feb 12, 2015",Maccabi Playtika Tel Aviv,Alba Berlin,59 - 66
Euroleague,"Feb 12, 2015",F.C. Barcelona,Galatasaray,82 - 70
Euroleague,"Feb 13, 2015",CSKA Moscow,AX Armani Exchange Milano,97 - 75
Euroleague,"Feb 13, 2015",Anadolu Efes,Fenerbahce,71 - 77
Euroleague,"Feb 13, 2015",TD Systems Baskonia,Unicaja Malaga,79 - 74
Euroleague,"Feb 13, 2015",Panathinaikos,Crvena zvezda mts,74 - 69
Euroleague,"Feb 26, 2015",Zalgiris,Galatasaray,72 - 59
Euroleague,"Feb 26, 2015",Real Madrid,Crvena zvezda mts,85 - 61
Euroleague,"Feb 26, 2015",Maccabi Playtika Tel Aviv,Panathinaikos,73 - 70
Euroleague,"Feb 26, 2015",Nizhny Novgorod,AX Armani Exchange Milano,76 - 85
Euroleague,"Feb 27, 2015",F.C. Barcelona,Alba Berlin,92 - 82
Euroleague,"Feb 27, 2015",CSKA Moscow,Fenerbahce,75 - 81
Euroleague,"Feb 27, 2015",Anadolu Efes,TD Systems Baskonia,84 - 87
Euroleague,"Feb 27, 2015",Olympiacos,Unicaja Malaga,77 - 72
Euroleague,"Mar 5, 2015",Alba Berlin,Zalgiris,80 - 72
Euroleague,"Mar 5, 2015",Panathinaikos,F.C. Barcelona,77 - 81
Euroleague,"Mar 5, 2015",Crvena zvezda mts,Maccabi Playtika Tel Aviv,89 - 76
Euroleague,"Mar 5, 2015",Fenerbahce,Nizhny Novgorod,92 - 79
Euroleague,"Mar 5, 2015",TD Systems Baskonia,CSKA Moscow,74 - 81
Euroleague,"Mar 6, 2015",Galatasaray,Real Madrid,71 - 107
Euroleague,"Mar 6, 2015",AX Armani Exchange Milano,Olympiacos,74 - 83
Euroleague,"Mar 6, 2015",Unicaja Malaga,Anadolu Efes,93 - 90
Euroleague,"Mar 9, 2015",Galatasaray,Crvena zvezda mts,68 - 91
Euroleague,"Mar 12, 2015",F.C. Barcelona,Maccabi Playtika Tel Aviv,89 - 71
Euroleague,"Mar 12, 2015",Real Madrid,Alba Berlin,93 - 62
Euroleague,"Mar 12, 2015",Nizhny Novgorod,TD Systems Baskonia,89 - 85
Euroleague,"Mar 13, 2015",Zalgiris,Panathinaikos,76 - 70
Euroleague,"Mar 13, 2015",CSKA Moscow,Anadolu Efes,88 - 83
Euroleague,"Mar 13, 2015",AX Armani Exchange Milano,Unicaja Malaga,90 - 86
Euroleague,"Mar 13, 2015",Olympiacos,Fenerbahce,64 - 73
Euroleague,"Mar 17, 2015",Crvena zvezda mts,F.C. Barcelona,73 - 77
Euroleague,"Mar 19, 2015",Maccabi Playtika Tel Aviv,Zalgiris,79 - 72
Euroleague,"Mar 19, 2015",Alba Berlin,Galatasaray,75 - 68
Euroleague,"Mar 19, 2015",Anadolu Efes,Nizhny Novgorod,79 - 75
Euroleague,"Mar 19, 2015",Unicaja Malaga,CSKA Moscow,77 - 95
Euroleague,"Mar 20, 2015",Panathinaikos,Real Madrid,85 - 69
Euroleague,"Mar 20, 2015",Fenerbahce,AX Armani Exchange Milano,98 - 77
Euroleague,"Mar 20, 2015",TD Systems Baskonia,Olympiacos,74 - 73
Euroleague,"Mar 25, 2015",Zalgiris,F.C. Barcelona,72 - 83
Euroleague,"Mar 26, 2015",Alba Berlin,Crvena zvezda mts,73 - 68
Euroleague,"Mar 26, 2015",Fenerbahce,Unicaja Malaga,78 - 63
Euroleague,"Mar 26, 2015",Olympiacos,Anadolu Efes,86 - 75
Euroleague,"Mar 26, 2015",AX Armani Exchange Milano,TD Systems Baskonia,99 - 85
Euroleague,"Mar 27, 2015",Galatasaray,Panathinaikos,84 - 86
Euroleague,"Mar 27, 2015",Real Madrid,Maccabi Playtika Tel Aviv,86 - 75
Euroleague,"Mar 27, 2015",Nizhny Novgorod,CSKA Moscow,82 - 86
Euroleague,"Apr 1, 2015",Maccabi Playtika Tel Aviv,Galatasaray,81 - 72
Euroleague,"Apr 2, 2015",F.C. Barcelona,Real Madrid,85 - 80
Euroleague,"Apr 2, 2015",Panathinaikos,Alba Berlin,66 - 68
Euroleague,"Apr 2, 2015",Nizhny Novgorod,Unicaja Malaga,75 - 94
Euroleague,"Apr 2, 2015",TD Systems Baskonia,Fenerbahce,93 - 76
Euroleague,"Apr 3, 2015",Zalgiris,Crvena zvezda mts,76 - 70
Euroleague,"Apr 3, 2015",CSKA Moscow,Olympiacos,76 - 70
Euroleague,"Apr 3, 2015",Anadolu Efes,AX Armani Exchange Milano,86 - 78
Euroleague,"Apr 8, 2015",Galatasaray,F.C. Barcelona,65 - 88
Euroleague,"Apr 8, 2015",Real Madrid,Zalgiris,99 - 83
Euroleague,"Apr 9, 2015",Alba Berlin,Maccabi Playtika Tel Aviv,64 - 73
Euroleague,"Apr 9, 2015",Crvena zvezda mts,Panathinaikos,69 - 68
Euroleague,"Apr 9, 2015",Unicaja Malaga,TD Systems Baskonia,93 - 84
Euroleague,"Apr 9, 2015",AX Armani Exchange Milano,CSKA Moscow,79 - 88
Euroleague,"Apr 9, 2015",Fenerbahce,Anadolu Efes,83 - 72
Euroleague,"Apr 10, 2015",Olympiacos,Nizhny Novgorod,77 - 70
Euroleague,"Apr 14, 2015",CSKA Moscow,Panathinaikos,93 - 66
Euroleague,"Apr 14, 2015",Fenerbahce,Maccabi Playtika Tel Aviv,80 - 72
Euroleague,"Apr 15, 2015",F.C. Barcelona,Olympiacos,73 - 57
Euroleague,"Apr 15, 2015",Real Madrid,Anadolu Efes,80 - 71
Euroleague,"Apr 15, 2015",CSKA Moscow,Panathinaikos,100 - 80
Euroleague,"Apr 15, 2015",Fenerbahce,Maccabi Playtika Tel Aviv,82 - 67
Euroleague,"Apr 17, 2015",F.C. Barcelona,Olympiacos,63 - 76
Euroleague,"Apr 17, 2015",Real Madrid,Anadolu Efes,90 - 85
Euroleague,"Apr 18, 2015",Maccabi Playtika Tel Aviv,Fenerbahce,74 - 75
Euroleague,"Apr 20, 2015",Panathinaikos,CSKA Moscow,86 - 85
Euroleague,"Apr 21, 2015",Olympiacos,F.C. Barcelona,73 - 71
Euroleague,"Apr 21, 2015",Anadolu Efes,Real Madrid,75 - 72
Euroleague,"Apr 22, 2015",Panathinaikos,CSKA Moscow,55 - 74
Euroleague,"Apr 23, 2015",Anadolu Efes,Real Madrid,63 - 76
Euroleague,"Apr 23, 2015",Olympiacos,F.C. Barcelona,71 - 68
Euroleague,"May 15, 2015",CSKA Moscow,Olympiacos,68 - 70
Euroleague,"May 15, 2015",Real Madrid,Fenerbahce,96 - 87
