League,Day,Team 1,Team 2,Score
Euroleague,"Oct 20, 2008",TD Systems Baskonia,Fenerbahce,80 - 70
Euroleague,"Oct 22, 2008",Unicaja Malaga,Le Mans,84 - 79
Euroleague,"Oct 22, 2008",Panathinaikos,Zalgiris,78 - 51
Euroleague,"Oct 22, 2008",OnSharing Siena,Asseco Arka Gdynia,80 - 71
Euroleague,"Oct 22, 2008",CSKA Moscow,AX Armani Exchange Milano,90 - 64
Euroleague,"Oct 23, 2008",Cibona,Maccabi Playtika Tel Aviv,81 - 79
Euroleague,"Oct 23, 2008",Scandone Avellino,Olympiacos,69 - 83
Euroleague,"Oct 23, 2008",Nancy,F.C. Barcelona,54 - 82
Euroleague,"Oct 23, 2008",Alba Berlin,Virtus Roma,68 - 63
Euroleague,"Oct 23, 2008",Joventut Badalona,Petrol Olimpjia,81 - 64
Euroleague,"Oct 23, 2008",Anadolu Efes,Partizan NIS,61 - 60
Euroleague,"Oct 23, 2008",Real Madrid,Panionios,87 - 66
Euroleague,"Oct 29, 2008",Virtus Roma,Joventut Badalona,85 - 71
Euroleague,"Oct 29, 2008",Panionios,CSKA Moscow,52 - 86
Euroleague,"Oct 29, 2008",Partizan NIS,Real Madrid,81 - 77
Euroleague,"Oct 29, 2008",AX Armani Exchange Milano,Anadolu Efes,71 - 81
Euroleague,"Oct 29, 2008",Asseco Arka Gdynia,Nancy,91 - 62
Euroleague,"Oct 30, 2008",Fenerbahce,Alba Berlin,82 - 73
Euroleague,"Oct 30, 2008",Petrol Olimpjia,TD Systems Baskonia,90 - 91
Euroleague,"Oct 30, 2008",Olympiacos,Unicaja Malaga,83 - 72
Euroleague,"Oct 30, 2008",Maccabi Playtika Tel Aviv,Scandone Avellino,90 - 83
Euroleague,"Oct 30, 2008",Le Mans,Cibona,54 - 58
Euroleague,"Oct 30, 2008",F.C. Barcelona,Panathinaikos,90 - 66
Euroleague,"Oct 30, 2008",Zalgiris,OnSharing Siena,67 - 93
Euroleague,"Nov 5, 2008",Scandone Avellino,Unicaja Malaga,72 - 70
Euroleague,"Nov 5, 2008",Asseco Arka Gdynia,Zalgiris,65 - 60
Euroleague,"Nov 5, 2008",Nancy,Panathinaikos,70 - 80
Euroleague,"Nov 5, 2008",TD Systems Baskonia,Alba Berlin,106 - 65
Euroleague,"Nov 5, 2008",Anadolu Efes,Panionios,69 - 78
Euroleague,"Nov 5, 2008",Partizan NIS,AX Armani Exchange Milano,81 - 76
Euroleague,"Nov 6, 2008",Cibona,Olympiacos,85 - 76
Euroleague,"Nov 6, 2008",Maccabi Playtika Tel Aviv,Le Mans,82 - 80
Euroleague,"Nov 6, 2008",OnSharing Siena,F.C. Barcelona,71 - 61
Euroleague,"Nov 6, 2008",Petrol Olimpjia,Virtus Roma,67 - 78
Euroleague,"Nov 6, 2008",Joventut Badalona,Fenerbahce,67 - 70
Euroleague,"Nov 6, 2008",Real Madrid,CSKA Moscow,54 - 58
Euroleague,"Nov 12, 2008",Panathinaikos,OnSharing Siena,81 - 76
Euroleague,"Nov 12, 2008",Nancy,Zalgiris,69 - 64
Euroleague,"Nov 12, 2008",F.C. Barcelona,Asseco Arka Gdynia,74 - 62
Euroleague,"Nov 12, 2008",Alba Berlin,Joventut Badalona,74 - 72
Euroleague,"Nov 12, 2008",TD Systems Baskonia,Virtus Roma,90 - 93
Euroleague,"Nov 12, 2008",CSKA Moscow,Anadolu Efes,90 - 68
Euroleague,"Nov 13, 2008",Unicaja Malaga,Cibona,77 - 67
Euroleague,"Nov 13, 2008",Olympiacos,Maccabi Playtika Tel Aviv,84 - 65
Euroleague,"Nov 13, 2008",Scandone Avellino,Le Mans,78 - 73
Euroleague,"Nov 13, 2008",Fenerbahce,Petrol Olimpjia,89 - 87
Euroleague,"Nov 13, 2008",Panionios,Partizan NIS,72 - 67
Euroleague,"Nov 13, 2008",Real Madrid,AX Armani Exchange Milano,70 - 69
Euroleague,"Nov 26, 2008",Cibona,Scandone Avellino,82 - 79
Euroleague,"Nov 26, 2008",Zalgiris,F.C. Barcelona,60 - 75
Euroleague,"Nov 26, 2008",Asseco Arka Gdynia,Panathinaikos,60 - 67
Euroleague,"Nov 26, 2008",OnSharing Siena,Nancy,86 - 63
Euroleague,"Nov 26, 2008",Anadolu Efes,Real Madrid,81 - 95
Euroleague,"Nov 27, 2008",Maccabi Playtika Tel Aviv,Unicaja Malaga,73 - 80
Euroleague,"Nov 27, 2008",Le Mans,Olympiacos,93 - 98
Euroleague,"Nov 27, 2008",Petrol Olimpjia,Alba Berlin,77 - 69
Euroleague,"Nov 27, 2008",Joventut Badalona,TD Systems Baskonia,105 - 100
Euroleague,"Nov 27, 2008",Virtus Roma,Fenerbahce,76 - 67
Euroleague,"Nov 27, 2008",AX Armani Exchange Milano,Panionios,77 - 73
Euroleague,"Nov 27, 2008",Partizan NIS,CSKA Moscow,62 - 63
Euroleague,"Dec 3, 2008",Le Mans,Unicaja Malaga,55 - 87
Euroleague,"Dec 3, 2008",Olympiacos,Scandone Avellino,91 - 66
Euroleague,"Dec 3, 2008",Asseco Arka Gdynia,OnSharing Siena,71 - 83
Euroleague,"Dec 3, 2008",Partizan NIS,Anadolu Efes,83 - 77
Euroleague,"Dec 3, 2008",Panionios,Real Madrid,68 - 66
Euroleague,"Dec 4, 2008",Maccabi Playtika Tel Aviv,Cibona,88 - 83
Euroleague,"Dec 4, 2008",Zalgiris,Panathinaikos,69 - 80
Euroleague,"Dec 4, 2008",F.C. Barcelona,Nancy,91 - 68
Euroleague,"Dec 4, 2008",Fenerbahce,TD Systems Baskonia,69 - 81
Euroleague,"Dec 4, 2008",Virtus Roma,Alba Berlin,70 - 64
Euroleague,"Dec 4, 2008",Petrol Olimpjia,Joventut Badalona,65 - 86
Euroleague,"Dec 4, 2008",AX Armani Exchange Milano,CSKA Moscow,80 - 79
Euroleague,"Dec 9, 2008",Alba Berlin,Fenerbahce,72 - 63
Euroleague,"Dec 10, 2008",OnSharing Siena,Zalgiris,100 - 93
Euroleague,"Dec 10, 2008",TD Systems Baskonia,Petrol Olimpjia,101 - 69
Euroleague,"Dec 10, 2008",CSKA Moscow,Panionios,93 - 61
Euroleague,"Dec 10, 2008",Anadolu Efes,AX Armani Exchange Milano,74 - 67
Euroleague,"Dec 10, 2008",Unicaja Malaga,Olympiacos,60 - 56
Euroleague,"Dec 10, 2008",Cibona,Le Mans,89 - 70
Euroleague,"Dec 11, 2008",Joventut Badalona,Virtus Roma,97 - 93
Euroleague,"Dec 11, 2008",Real Madrid,Partizan NIS,68 - 67
Euroleague,"Dec 11, 2008",Scandone Avellino,Maccabi Playtika Tel Aviv,72 - 86
Euroleague,"Dec 11, 2008",Nancy,Asseco Arka Gdynia,78 - 70
Euroleague,"Dec 11, 2008",Panathinaikos,F.C. Barcelona,76 - 87
Euroleague,"Dec 17, 2008",Panathinaikos,Nancy,83 - 69
Euroleague,"Dec 17, 2008",F.C. Barcelona,OnSharing Siena,87 - 61
Euroleague,"Dec 17, 2008",Fenerbahce,Joventut Badalona,89 - 63
Euroleague,"Dec 17, 2008",AX Armani Exchange Milano,Partizan NIS,73 - 59
Euroleague,"Dec 17, 2008",CSKA Moscow,Real Madrid,78 - 82
Euroleague,"Dec 18, 2008",Unicaja Malaga,Scandone Avellino,72 - 68
Euroleague,"Dec 18, 2008",Olympiacos,Cibona,93 - 64
Euroleague,"Dec 18, 2008",Le Mans,Maccabi Playtika Tel Aviv,73 - 87
Euroleague,"Dec 18, 2008",Zalgiris,Asseco Arka Gdynia,79 - 68
Euroleague,"Dec 18, 2008",Alba Berlin,TD Systems Baskonia,68 - 73
Euroleague,"Dec 18, 2008",Virtus Roma,Petrol Olimpjia,74 - 69
Euroleague,"Dec 18, 2008",Panionios,Anadolu Efes,64 - 78
Euroleague,"Jan 7, 2009",Le Mans,Scandone Avellino,92 - 88
Euroleague,"Jan 7, 2009",Asseco Arka Gdynia,F.C. Barcelona,64 - 76
Euroleague,"Jan 7, 2009",Joventut Badalona,Alba Berlin,75 - 79
Euroleague,"Jan 7, 2009",Virtus Roma,TD Systems Baskonia,96 - 103
Euroleague,"Jan 7, 2009",Anadolu Efes,CSKA Moscow,55 - 74
Euroleague,"Jan 7, 2009",Partizan NIS,Panionios,80 - 57
Euroleague,"Jan 8, 2009",Cibona,Unicaja Malaga,76 - 77
Euroleague,"Jan 8, 2009",Maccabi Playtika Tel Aviv,Olympiacos,96 - 83
Euroleague,"Jan 8, 2009",OnSharing Siena,Panathinaikos,82 - 77
Euroleague,"Jan 8, 2009",Zalgiris,Nancy,105 - 94
Euroleague,"Jan 8, 2009",Petrol Olimpjia,Fenerbahce,70 - 90
Euroleague,"Jan 8, 2009",AX Armani Exchange Milano,Real Madrid,70 - 61
