League,Day,Team 1,Team 2,Score
Euroleague,"Oct 16, 2000",Real Madrid,Olympiacos,75 - 73
Euroleague,"Oct 16, 2000",Benetton Treviso,KK Union Olimpija Ljubljana,69 - 71
Euroleague,"Oct 16, 2000",London Towers,Fraport Skyliners,86 - 61
Euroleague,"Oct 16, 2000",Buducnost VOLI,F.C. Barcelona,77 - 85
Euroleague,"Oct 16, 2000",PAOK,Tezenis Verona,97 - 94
Euroleague,"Oct 16, 2000",Lugano Tigers,Zadar,75 - 74
Euroleague,"Oct 16, 2000",Fortitudo Lavoropiù Bologna,Zalgiris,91 - 85
Euroleague,"Oct 16, 2000",Movistar Estudiantes,Peristeri,86 - 91
Euroleague,"Oct 16, 2000",Proximus Spirou,St.Petersburg Lions,80 - 68
Euroleague,"Oct 16, 2000",AEK Athens,Virtus Segafredo Bologna,78 - 77
Euroleague,"Oct 16, 2000",Cibona,TD Systems Baskonia,62 - 60
Euroleague,"Oct 16, 2000",Ovarense,Hapoel Jerusalem,82 - 94
Euroleague,"Oct 25, 2000",Zalgiris,Movistar Estudiantes,77 - 80
Euroleague,"Oct 25, 2000",Zadar,Fortitudo Lavoropiù Bologna,87 - 91
Euroleague,"Oct 25, 2000",Peristeri,Lugano Tigers,85 - 68
Euroleague,"Oct 25, 2000",St.Petersburg Lions,AEK Athens,69 - 90
Euroleague,"Oct 25, 2000",TD Systems Baskonia,Proximus Spirou,76 - 64
Euroleague,"Oct 25, 2000",Virtus Segafredo Bologna,Cibona,106 - 88
Euroleague,"Oct 25, 2000",KK Union Olimpija Ljubljana,Ovarense,102 - 79
Euroleague,"Oct 25, 2000",Olympiacos,Benetton Treviso,82 - 73
Euroleague,"Oct 25, 2000",Hapoel Jerusalem,Real Madrid,74 - 87
Euroleague,"Oct 25, 2000",Fraport Skyliners,Buducnost VOLI,79 - 94
Euroleague,"Oct 25, 2000",Tezenis Verona,London Towers,102 - 76
Euroleague,"Oct 25, 2000",F.C. Barcelona,PAOK,58 - 67
Euroleague,"Nov 1, 2000",Lugano Tigers,Fortitudo Lavoropiù Bologna,72 - 100
Euroleague,"Nov 1, 2000",Movistar Estudiantes,Zadar,93 - 81
Euroleague,"Nov 1, 2000",Peristeri,Zalgiris,74 - 92
Euroleague,"Nov 1, 2000",AEK Athens,Proximus Spirou,97 - 73
Euroleague,"Nov 1, 2000",Cibona,St.Petersburg Lions,75 - 70
