League,Day,Team 1,Team 2,Score
Euroleague,"Oct 31, 2005",Trabzonspor,Panathinaikos,66 - 82
Euroleague,"Nov 2, 2005",TD Systems Baskonia,Fortitudo Lavoropiù Bologna,77 - 69
Euroleague,"Nov 2, 2005",AEK Athens,Strasbourg,73 - 71
Euroleague,"Nov 2, 2005",Cibona,Rytas Vilnius,68 - 57
Euroleague,"Nov 2, 2005",CSKA Moscow,OnSharing Siena,69 - 74
Euroleague,"Nov 3, 2005",Petrol Olimpjia,Zalgiris,75 - 78
Euroleague,"Nov 3, 2005",Benetton Treviso,Brose Bamberg,76 - 68
Euroleague,"Nov 3, 2005",Maccabi Playtika Tel Aviv,Asseco Arka Gdynia,95 - 68
Euroleague,"Nov 3, 2005",AX Armani Exchange Milano,Anadolu Efes,66 - 71
Euroleague,"Nov 3, 2005",F.C. Barcelona,Olympiacos,86 - 70
Euroleague,"Nov 3, 2005",Partizan NIS,Pau-Lacq-Orthez,57 - 82
Euroleague,"Nov 3, 2005",Real Madrid,Unicaja Malaga,88 - 77
Euroleague,"Nov 9, 2005",Fortitudo Lavoropiù Bologna,AEK Athens,88 - 55
Euroleague,"Nov 9, 2005",Rytas Vilnius,AX Armani Exchange Milano,59 - 65
Euroleague,"Nov 9, 2005",Asseco Arka Gdynia,Cibona,80 - 64
Euroleague,"Nov 9, 2005",Panathinaikos,CSKA Moscow,92 - 82
Euroleague,"Nov 9, 2005",Unicaja Malaga,Trabzonspor,70 - 57
Euroleague,"Nov 9, 2005",Pau-Lacq-Orthez,Real Madrid,50 - 69
Euroleague,"Nov 10, 2005",Brose Bamberg,Petrol Olimpjia,81 - 80
Euroleague,"Nov 10, 2005",Strasbourg,Benetton Treviso,76 - 78
Euroleague,"Nov 10, 2005",Zalgiris,TD Systems Baskonia,63 - 58
Euroleague,"Nov 10, 2005",Olympiacos,Maccabi Playtika Tel Aviv,83 - 78
Euroleague,"Nov 10, 2005",Anadolu Efes,F.C. Barcelona,66 - 63
Euroleague,"Nov 10, 2005",OnSharing Siena,Partizan NIS,66 - 59
Euroleague,"Nov 16, 2005",Petrol Olimpjia,TD Systems Baskonia,70 - 87
Euroleague,"Nov 16, 2005",Trabzonspor,Pau-Lacq-Orthez,87 - 55
Euroleague,"Nov 16, 2005",CSKA Moscow,Unicaja Malaga,87 - 63
Euroleague,"Nov 16, 2005",OnSharing Siena,Panathinaikos,78 - 82
Euroleague,"Nov 17, 2005",AEK Athens,Zalgiris,80 - 65
Euroleague,"Nov 17, 2005",Benetton Treviso,Fortitudo Lavoropiù Bologna,94 - 84
Euroleague,"Nov 17, 2005",Brose Bamberg,Strasbourg,73 - 60
Euroleague,"Nov 17, 2005",Maccabi Playtika Tel Aviv,Cibona,83 - 74
