League,Day,Team 1,Team 2,Score
Euroleague,"Oct 10, 2002",Alba Berlin,Anadolu Efes,63 - 84
Euroleague,"Oct 10, 2002",Benetton Treviso,Pau-Lacq-Orthez,94 - 73
Euroleague,"Oct 10, 2002",Cibona,AEK Athens,85 - 71
Euroleague,"Oct 10, 2002",F.C. Barcelona,Fortitudo Lavoropiù Bologna,94 - 75
Euroleague,"Oct 10, 2002",TD Systems Baskonia,Maccabi Playtika Tel Aviv,85 - 79
Euroleague,"Oct 10, 2002",OnSharing Siena,Zalgiris,81 - 74
Euroleague,"Oct 10, 2002",Panathinaikos,Buducnost VOLI,87 - 71
Euroleague,"Oct 10, 2002",Unicaja Malaga,KK Union Olimpija Ljubljana,70 - 77
Euroleague,"Oct 10, 2002",Partizan NIS,Real Madrid,82 - 86
Euroleague,"Oct 10, 2002",Virtus Segafredo Bologna,LDLC ASVEL,84 - 88
Euroleague,"Oct 10, 2002",WKS Slask Wroclaw,Olympiacos,72 - 91
Euroleague,"Oct 10, 2002",Trabzonspor,CSKA Moscow,63 - 66
Euroleague,"Oct 17, 2002",Fortitudo Lavoropiù Bologna,Alba Berlin,88 - 78
Euroleague,"Oct 17, 2002",AEK Athens,F.C. Barcelona,57 - 62
Euroleague,"Oct 17, 2002",Pau-Lacq-Orthez,Cibona,77 - 74
Euroleague,"Oct 17, 2002",Anadolu Efes,Benetton Treviso,84 - 83
Euroleague,"Oct 17, 2002",KK Union Olimpija Ljubljana,TD Systems Baskonia,72 - 76
Euroleague,"Oct 17, 2002",Buducnost VOLI,Unicaja Malaga,72 - 78
Euroleague,"Oct 17, 2002",Zalgiris,Panathinaikos,79 - 94
Euroleague,"Oct 17, 2002",Maccabi Playtika Tel Aviv,OnSharing Siena,107 - 81
Euroleague,"Oct 17, 2002",CSKA Moscow,Partizan NIS,93 - 57
Euroleague,"Oct 17, 2002",Olympiacos,Trabzonspor,71 - 77
Euroleague,"Oct 17, 2002",LDLC ASVEL,WKS Slask Wroclaw,87 - 80
Euroleague,"Oct 17, 2002",Real Madrid,Virtus Segafredo Bologna,73 - 81
Euroleague,"Oct 23, 2002",Alba Berlin,Benetton Treviso,75 - 78
Euroleague,"Oct 23, 2002",Cibona,Anadolu Efes,64 - 56
Euroleague,"Oct 23, 2002",F.C. Barcelona,Pau-Lacq-Orthez,84 - 62
Euroleague,"Oct 23, 2002",Fortitudo Lavoropiù Bologna,AEK Athens,82 - 76
Euroleague,"Oct 23, 2002",TD Systems Baskonia,OnSharing Siena,90 - 85
Euroleague,"Oct 23, 2002",Panathinaikos,Maccabi Playtika Tel Aviv,64 - 77
Euroleague,"Oct 23, 2002",Unicaja Malaga,Zalgiris,77 - 78
Euroleague,"Oct 23, 2002",KK Union Olimpija Ljubljana,Buducnost VOLI,83 - 71
Euroleague,"Oct 23, 2002",Partizan NIS,Virtus Segafredo Bologna,73 - 86
Euroleague,"Oct 23, 2002",Real Madrid,WKS Slask Wroclaw,79 - 85
Euroleague,"Oct 23, 2002",Trabzonspor,LDLC ASVEL,65 - 63
Euroleague,"Oct 23, 2002",CSKA Moscow,Olympiacos,74 - 67
Euroleague,"Oct 30, 2002",AEK Athens,Alba Berlin,87 - 88
Euroleague,"Oct 30, 2002",Pau-Lacq-Orthez,Fortitudo Lavoropiù Bologna,76 - 71
Euroleague,"Oct 30, 2002",Anadolu Efes,F.C. Barcelona,91 - 92
Euroleague,"Oct 30, 2002",Benetton Treviso,Cibona,96 - 82
Euroleague,"Oct 30, 2002",Buducnost VOLI,TD Systems Baskonia,71 - 81
Euroleague,"Oct 30, 2002",Zalgiris,KK Union Olimpija Ljubljana,73 - 81
Euroleague,"Oct 30, 2002",Maccabi Playtika Tel Aviv,Unicaja Malaga,86 - 89
Euroleague,"Oct 30, 2002",OnSharing Siena,Panathinaikos,77 - 69
Euroleague,"Oct 30, 2002",Olympiacos,Partizan NIS,78 - 80
Euroleague,"Oct 30, 2002",LDLC ASVEL,CSKA Moscow,99 - 87
Euroleague,"Oct 30, 2002",Real Madrid,Trabzonspor,81 - 77
Euroleague,"Oct 30, 2002",Virtus Segafredo Bologna,WKS Slask Wroclaw,86 - 70
Euroleague,"Nov 7, 2002",Alba Berlin,Cibona,84 - 70
Euroleague,"Nov 7, 2002",F.C. Barcelona,Benetton Treviso,86 - 85
Euroleague,"Nov 7, 2002",Fortitudo Lavoropiù Bologna,Anadolu Efes,72 - 73
Euroleague,"Nov 7, 2002",AEK Athens,Pau-Lacq-Orthez,71 - 83
Euroleague,"Nov 7, 2002",TD Systems Baskonia,Panathinaikos,75 - 76
Euroleague,"Nov 7, 2002",Unicaja Malaga,OnSharing Siena,87 - 74
Euroleague,"Nov 7, 2002",KK Union Olimpija Ljubljana,Maccabi Playtika Tel Aviv,81 - 76
Euroleague,"Nov 7, 2002",Buducnost VOLI,Zalgiris,106 - 102
Euroleague,"Nov 7, 2002",Partizan NIS,WKS Slask Wroclaw,85 - 86
Euroleague,"Nov 7, 2002",Trabzonspor,Virtus Segafredo Bologna,105 - 78
Euroleague,"Nov 7, 2002",CSKA Moscow,Real Madrid,90 - 75
Euroleague,"Nov 7, 2002",Olympiacos,LDLC ASVEL,83 - 77
Euroleague,"Nov 13, 2002",Alba Berlin,Pau-Lacq-Orthez,82 - 80
Euroleague,"Nov 13, 2002",Anadolu Efes,AEK Athens,74 - 79
Euroleague,"Nov 13, 2002",Benetton Treviso,Fortitudo Lavoropiù Bologna,95 - 80
Euroleague,"Nov 13, 2002",Cibona,F.C. Barcelona,94 - 77
Euroleague,"Nov 13, 2002",TD Systems Baskonia,Zalgiris,113 - 88
Euroleague,"Nov 13, 2002",Maccabi Playtika Tel Aviv,Buducnost VOLI,107 - 86
Euroleague,"Nov 13, 2002",OnSharing Siena,KK Union Olimpija Ljubljana,86 - 79
Euroleague,"Nov 13, 2002",Panathinaikos,Unicaja Malaga,77 - 65
Euroleague,"Nov 13, 2002",Partizan NIS,LDLC ASVEL,79 - 71
Euroleague,"Nov 13, 2002",Real Madrid,Olympiacos,73 - 66
Euroleague,"Nov 13, 2002",Virtus Segafredo Bologna,CSKA Moscow,83 - 85
Euroleague,"Nov 13, 2002",WKS Slask Wroclaw,Trabzonspor,84 - 93
Euroleague,"Dec 5, 2002",F.C. Barcelona,Alba Berlin,81 - 74
Euroleague,"Dec 5, 2002",Fortitudo Lavoropiù Bologna,Cibona,76 - 71
Euroleague,"Dec 5, 2002",AEK Athens,Benetton Treviso,90 - 94
Euroleague,"Dec 5, 2002",Pau-Lacq-Orthez,Anadolu Efes,74 - 85
Euroleague,"Dec 5, 2002",Unicaja Malaga,TD Systems Baskonia,71 - 54
Euroleague,"Dec 5, 2002",KK Union Olimpija Ljubljana,Panathinaikos,77 - 70
Euroleague,"Dec 5, 2002",Buducnost VOLI,OnSharing Siena,91 - 75
Euroleague,"Dec 5, 2002",Zalgiris,Maccabi Playtika Tel Aviv,87 - 74
Euroleague,"Dec 5, 2002",Trabzonspor,Partizan NIS,84 - 74
Euroleague,"Dec 5, 2002",CSKA Moscow,WKS Slask Wroclaw,73 - 45
Euroleague,"Dec 5, 2002",Olympiacos,Virtus Segafredo Bologna,80 - 66
Euroleague,"Dec 5, 2002",LDLC ASVEL,Real Madrid,64 - 76
Euroleague,"Dec 11, 2002",Anadolu Efes,Alba Berlin,74 - 62
Euroleague,"Dec 11, 2002",Pau-Lacq-Orthez,Benetton Treviso,88 - 93
Euroleague,"Dec 11, 2002",AEK Athens,Cibona,69 - 71
Euroleague,"Dec 11, 2002",Fortitudo Lavoropiù Bologna,F.C. Barcelona,82 - 70
Euroleague,"Dec 11, 2002",Maccabi Playtika Tel Aviv,TD Systems Baskonia,69 - 72
Euroleague,"Dec 11, 2002",Zalgiris,OnSharing Siena,74 - 100
Euroleague,"Dec 11, 2002",Buducnost VOLI,Panathinaikos,84 - 92
Euroleague,"Dec 11, 2002",KK Union Olimpija Ljubljana,Unicaja Malaga,83 - 82
Euroleague,"Dec 11, 2002",Real Madrid,Partizan NIS,89 - 78
Euroleague,"Dec 11, 2002",LDLC ASVEL,Virtus Segafredo Bologna,74 - 88
Euroleague,"Dec 11, 2002",Olympiacos,WKS Slask Wroclaw,78 - 71
Euroleague,"Dec 11, 2002",CSKA Moscow,Trabzonspor,78 - 62
Euroleague,"Dec 18, 2002",Alba Berlin,Fortitudo Lavoropiù Bologna,77 - 80
Euroleague,"Dec 18, 2002",F.C. Barcelona,AEK Athens,68 - 54
Euroleague,"Dec 18, 2002",Cibona,Pau-Lacq-Orthez,66 - 62
Euroleague,"Dec 18, 2002",Benetton Treviso,Anadolu Efes,87 - 75
Euroleague,"Dec 18, 2002",TD Systems Baskonia,KK Union Olimpija Ljubljana,86 - 79
Euroleague,"Dec 18, 2002",Unicaja Malaga,Buducnost VOLI,87 - 75
Euroleague,"Dec 18, 2002",Panathinaikos,Zalgiris,98 - 84
Euroleague,"Dec 18, 2002",OnSharing Siena,Maccabi Playtika Tel Aviv,63 - 73
Euroleague,"Dec 18, 2002",Partizan NIS,CSKA Moscow,93 - 81
Euroleague,"Dec 18, 2002",Trabzonspor,Olympiacos,65 - 82
Euroleague,"Dec 18, 2002",WKS Slask Wroclaw,LDLC ASVEL,75 - 73
Euroleague,"Dec 18, 2002",Virtus Segafredo Bologna,Real Madrid,91 - 82
Euroleague,"Jan 9, 2003",Benetton Treviso,Alba Berlin,107 - 81
Euroleague,"Jan 9, 2003",Anadolu Efes,Cibona,91 - 57
Euroleague,"Jan 9, 2003",Pau-Lacq-Orthez,F.C. Barcelona,72 - 84
Euroleague,"Jan 9, 2003",AEK Athens,Fortitudo Lavoropiù Bologna,63 - 72
Euroleague,"Jan 9, 2003",OnSharing Siena,TD Systems Baskonia,77 - 62
Euroleague,"Jan 9, 2003",Maccabi Playtika Tel Aviv,Panathinaikos,79 - 86
Euroleague,"Jan 9, 2003",Zalgiris,Unicaja Malaga,87 - 67
Euroleague,"Jan 9, 2003",Buducnost VOLI,KK Union Olimpija Ljubljana,81 - 100
Euroleague,"Jan 9, 2003",Virtus Segafredo Bologna,Partizan NIS,81 - 64
Euroleague,"Jan 9, 2003",WKS Slask Wroclaw,Real Madrid,65 - 71
Euroleague,"Jan 9, 2003",LDLC ASVEL,Trabzonspor,79 - 82
Euroleague,"Jan 9, 2003",Olympiacos,CSKA Moscow,77 - 79
Euroleague,"Jan 15, 2003",Alba Berlin,AEK Athens,80 - 76
Euroleague,"Jan 15, 2003",Fortitudo Lavoropiù Bologna,Pau-Lacq-Orthez,85 - 75
Euroleague,"Jan 15, 2003",F.C. Barcelona,Anadolu Efes,73 - 60
Euroleague,"Jan 15, 2003",Cibona,Benetton Treviso,71 - 100
Euroleague,"Jan 15, 2003",TD Systems Baskonia,Buducnost VOLI,103 - 86
Euroleague,"Jan 15, 2003",KK Union Olimpija Ljubljana,Zalgiris,76 - 55
Euroleague,"Jan 15, 2003",Unicaja Malaga,Maccabi Playtika Tel Aviv,76 - 68
Euroleague,"Jan 15, 2003",Panathinaikos,OnSharing Siena,64 - 56
Euroleague,"Jan 15, 2003",Partizan NIS,Olympiacos,81 - 71
Euroleague,"Jan 15, 2003",CSKA Moscow,LDLC ASVEL,85 - 65
Euroleague,"Jan 15, 2003",Trabzonspor,Real Madrid,85 - 84
Euroleague,"Jan 15, 2003",WKS Slask Wroclaw,Virtus Segafredo Bologna,80 - 72
Euroleague,"Jan 30, 2003",Cibona,Alba Berlin,90 - 72
Euroleague,"Jan 30, 2003",Benetton Treviso,F.C. Barcelona,94 - 82
Euroleague,"Jan 30, 2003",Anadolu Efes,Fortitudo Lavoropiù Bologna,75 - 57
Euroleague,"Jan 30, 2003",Pau-Lacq-Orthez,AEK Athens,86 - 84
