League,Day,Team 1,Team 2,Score
Euroleague,"Oct 18, 2010",Olympiacos,Real Madrid,82 - 66
Euroleague,"Oct 20, 2010",Khimki Moscow Region,Asseco Arka Gdynia,82 - 76
Euroleague,"Oct 20, 2010",Fenerbahce,Rytas Vilnius,86 - 69
Euroleague,"Oct 20, 2010",Petrol Olimpjia,Anadolu Efes,95 - 90
Euroleague,"Oct 20, 2010",Virtus Roma,Brose Bamberg,83 - 65
Euroleague,"Oct 21, 2010",Zalgiris,Partizan NIS,73 - 62
Euroleague,"Oct 21, 2010",CSKA Moscow,AX Armani Exchange Milano,73 - 88
Euroleague,"Oct 21, 2010",TD Systems Baskonia,Maccabi Playtika Tel Aviv,94 - 78
Euroleague,"Oct 21, 2010",Unicaja Malaga,Proximus Spirou,84 - 73
Euroleague,"Oct 21, 2010",F.C. Barcelona,Cibona,80 - 66
Euroleague,"Oct 21, 2010",Valencia,Panathinaikos,56 - 72
Euroleague,"Oct 21, 2010",OnSharing Siena,Cholet,76 - 44
Euroleague,"Oct 27, 2010",Rytas Vilnius,OnSharing Siena,75 - 79
Euroleague,"Oct 27, 2010",Asseco Arka Gdynia,TD Systems Baskonia,73 - 80
Euroleague,"Oct 27, 2010",Brose Bamberg,Olympiacos,73 - 61
Euroleague,"Oct 27, 2010",Anadolu Efes,Valencia,79 - 63
Euroleague,"Oct 27, 2010",Cholet,F.C. Barcelona,77 - 84
Euroleague,"Oct 27, 2010",Partizan NIS,Khimki Moscow Region,72 - 68
Euroleague,"Oct 28, 2010",Cibona,Fenerbahce,68 - 73
Euroleague,"Oct 28, 2010",Proximus Spirou,Virtus Roma,55 - 64
Euroleague,"Oct 28, 2010",Real Madrid,Unicaja Malaga,68 - 56
Euroleague,"Oct 28, 2010",AX Armani Exchange Milano,Petrol Olimpjia,72 - 76
Euroleague,"Oct 28, 2010",Maccabi Playtika Tel Aviv,Zalgiris,86 - 70
Euroleague,"Oct 28, 2010",Panathinaikos,CSKA Moscow,74 - 60
Euroleague,"Nov 3, 2010",Zalgiris,Asseco Arka Gdynia,74 - 68
Euroleague,"Nov 3, 2010",Khimki Moscow Region,TD Systems Baskonia,64 - 60
Euroleague,"Nov 3, 2010",Olympiacos,Unicaja Malaga,93 - 66
Euroleague,"Nov 3, 2010",Anadolu Efes,AX Armani Exchange Milano,82 - 74
Euroleague,"Nov 3, 2010",Brose Bamberg,Proximus Spirou,79 - 69
Euroleague,"Nov 3, 2010",Valencia,CSKA Moscow,82 - 57
Euroleague,"Nov 4, 2010",Cholet,Rytas Vilnius,73 - 69
Euroleague,"Nov 4, 2010",OnSharing Siena,Cibona,80 - 57
Euroleague,"Nov 4, 2010",Partizan NIS,Maccabi Playtika Tel Aviv,54 - 67
Euroleague,"Nov 4, 2010",F.C. Barcelona,Fenerbahce,61 - 69
Euroleague,"Nov 4, 2010",Petrol Olimpjia,Panathinaikos,85 - 84
Euroleague,"Nov 4, 2010",Virtus Roma,Real Madrid,56 - 74
Euroleague,"Nov 10, 2010",Asseco Arka Gdynia,Partizan NIS,62 - 69
Euroleague,"Nov 10, 2010",Fenerbahce,OnSharing Siena,81 - 68
Euroleague,"Nov 10, 2010",CSKA Moscow,Petrol Olimpjia,65 - 55
Euroleague,"Nov 10, 2010",TD Systems Baskonia,Zalgiris,88 - 92
Euroleague,"Nov 10, 2010",Unicaja Malaga,Virtus Roma,104 - 83
Euroleague,"Nov 10, 2010",Olympiacos,Proximus Spirou,86 - 78
Euroleague,"Nov 11, 2010",Cibona,Cholet,71 - 84
Euroleague,"Nov 11, 2010",Khimki Moscow Region,Maccabi Playtika Tel Aviv,76 - 78
Euroleague,"Nov 11, 2010",Real Madrid,Brose Bamberg,83 - 81
Euroleague,"Nov 11, 2010",F.C. Barcelona,Rytas Vilnius,69 - 55
Euroleague,"Nov 11, 2010",Valencia,AX Armani Exchange Milano,69 - 80
Euroleague,"Nov 11, 2010",Panathinaikos,Anadolu Efes,84 - 61
Euroleague,"Nov 17, 2010",Partizan NIS,TD Systems Baskonia,74 - 71
Euroleague,"Nov 17, 2010",Rytas Vilnius,Cibona,90 - 62
Euroleague,"Nov 17, 2010",Cholet,Fenerbahce,82 - 78
Euroleague,"Nov 17, 2010",Petrol Olimpjia,Valencia,72 - 68
Euroleague,"Nov 17, 2010",Virtus Roma,Olympiacos,71 - 86
Euroleague,"Nov 18, 2010",Zalgiris,Khimki Moscow Region,73 - 65
Euroleague,"Nov 18, 2010",Proximus Spirou,Real Madrid,67 - 49
Euroleague,"Nov 18, 2010",Brose Bamberg,Unicaja Malaga,65 - 69
Euroleague,"Nov 18, 2010",OnSharing Siena,F.C. Barcelona,76 - 67
Euroleague,"Nov 18, 2010",Maccabi Playtika Tel Aviv,Asseco Arka Gdynia,99 - 58
Euroleague,"Nov 18, 2010",AX Armani Exchange Milano,Panathinaikos,71 - 81
Euroleague,"Nov 18, 2010",Anadolu Efes,CSKA Moscow,86 - 72
Euroleague,"Nov 24, 2010",Cholet,OnSharing Siena,61 - 70
Euroleague,"Nov 24, 2010",Asseco Arka Gdynia,Khimki Moscow Region,71 - 67
Euroleague,"Nov 24, 2010",Rytas Vilnius,Fenerbahce,75 - 81
Euroleague,"Nov 24, 2010",AX Armani Exchange Milano,CSKA Moscow,71 - 65
Euroleague,"Nov 25, 2010",Cibona,F.C. Barcelona,75 - 94
Euroleague,"Nov 25, 2010",Proximus Spirou,Unicaja Malaga,79 - 74
Euroleague,"Nov 25, 2010",Panathinaikos,Valencia,69 - 73
Euroleague,"Nov 25, 2010",Brose Bamberg,Virtus Roma,67 - 68
Euroleague,"Nov 25, 2010",Anadolu Efes,Petrol Olimpjia,84 - 78
Euroleague,"Nov 25, 2010",Partizan NIS,Zalgiris,68 - 62
Euroleague,"Nov 25, 2010",Real Madrid,Olympiacos,82 - 68
Euroleague,"Nov 25, 2010",Maccabi Playtika Tel Aviv,TD Systems Baskonia,81 - 70
Euroleague,"Dec 1, 2010",Khimki Moscow Region,Partizan NIS,92 - 65
Euroleague,"Dec 1, 2010",Fenerbahce,Cibona,100 - 70
Euroleague,"Dec 1, 2010",CSKA Moscow,Panathinaikos,68 - 72
Euroleague,"Dec 1, 2010",TD Systems Baskonia,Asseco Arka Gdynia,75 - 81
Euroleague,"Dec 1, 2010",Petrol Olimpjia,AX Armani Exchange Milano,82 - 75
Euroleague,"Dec 1, 2010",OnSharing Siena,Rytas Vilnius,90 - 72
Euroleague,"Dec 2, 2010",Zalgiris,Maccabi Playtika Tel Aviv,68 - 71
Euroleague,"Dec 2, 2010",Unicaja Malaga,Real Madrid,75 - 71
Euroleague,"Dec 2, 2010",F.C. Barcelona,Cholet,76 - 62
Euroleague,"Dec 2, 2010",Valencia,Anadolu Efes,62 - 56
Euroleague,"Dec 2, 2010",Virtus Roma,Proximus Spirou,95 - 83
Euroleague,"Dec 2, 2010",Olympiacos,Brose Bamberg,86 - 69
Euroleague,"Dec 8, 2010",Cibona,OnSharing Siena,66 - 82
Euroleague,"Dec 8, 2010",Proximus Spirou,Brose Bamberg,75 - 61
Euroleague,"Dec 8, 2010",CSKA Moscow,Valencia,73 - 63
Euroleague,"Dec 8, 2010",AX Armani Exchange Milano,Anadolu Efes,84 - 70
Euroleague,"Dec 9, 2010",Rytas Vilnius,Cholet,92 - 80
Euroleague,"Dec 9, 2010",Panathinaikos,Petrol Olimpjia,95 - 88
Euroleague,"Dec 9, 2010",Fenerbahce,F.C. Barcelona,69 - 75
Euroleague,"Dec 9, 2010",TD Systems Baskonia,Khimki Moscow Region,89 - 81
Euroleague,"Dec 9, 2010",Asseco Arka Gdynia,Zalgiris,69 - 72
Euroleague,"Dec 9, 2010",Unicaja Malaga,Olympiacos,76 - 74
Euroleague,"Dec 9, 2010",Real Madrid,Virtus Roma,72 - 50
Euroleague,"Dec 9, 2010",Maccabi Playtika Tel Aviv,Partizan NIS,76 - 62
Euroleague,"Dec 15, 2010",Zalgiris,TD Systems Baskonia,89 - 95
Euroleague,"Dec 15, 2010",Anadolu Efes,Panathinaikos,79 - 78
Euroleague,"Dec 15, 2010",Brose Bamberg,Real Madrid,82 - 75
Euroleague,"Dec 15, 2010",Cholet,Cibona,81 - 65
Euroleague,"Dec 15, 2010",Partizan NIS,Asseco Arka Gdynia,61 - 59
Euroleague,"Dec 15, 2010",Virtus Roma,Unicaja Malaga,81 - 75
Euroleague,"Dec 16, 2010",Proximus Spirou,Olympiacos,67 - 80
Euroleague,"Dec 16, 2010",OnSharing Siena,Fenerbahce,94 - 65
Euroleague,"Dec 16, 2010",Petrol Olimpjia,CSKA Moscow,81 - 72
Euroleague,"Dec 16, 2010",Maccabi Playtika Tel Aviv,Khimki Moscow Region,80 - 76
Euroleague,"Dec 16, 2010",AX Armani Exchange Milano,Valencia,60 - 75
Euroleague,"Dec 16, 2010",Rytas Vilnius,F.C. Barcelona,88 - 87
Euroleague,"Dec 22, 2010",TD Systems Baskonia,Partizan NIS,87 - 71
Euroleague,"Dec 22, 2010",Khimki Moscow Region,Zalgiris,93 - 89
Euroleague,"Dec 22, 2010",Asseco Arka Gdynia,Maccabi Playtika Tel Aviv,72 - 83
Euroleague,"Dec 22, 2010",Olympiacos,Virtus Roma,89 - 82
Euroleague,"Dec 22, 2010",Real Madrid,Proximus Spirou,94 - 45
Euroleague,"Dec 22, 2010",Unicaja Malaga,Brose Bamberg,70 - 72
Euroleague,"Dec 22, 2010",Cibona,Rytas Vilnius,77 - 94
Euroleague,"Dec 22, 2010",Fenerbahce,Cholet,93 - 61
Euroleague,"Dec 22, 2010",F.C. Barcelona,OnSharing Siena,73 - 72
Euroleague,"Dec 22, 2010",Valencia,Petrol Olimpjia,78 - 77
Euroleague,"Dec 22, 2010",CSKA Moscow,Anadolu Efes,78 - 69
Euroleague,"Dec 22, 2010",Panathinaikos,AX Armani Exchange Milano,93 - 62
Euroleague,"Jan 20, 2011",Rytas Vilnius,Panathinaikos,59 - 80
Euroleague,"Jan 20, 2011",Unicaja Malaga,TD Systems Baskonia,71 - 76
Euroleague,"Jan 20, 2011",F.C. Barcelona,Maccabi Playtika Tel Aviv,81 - 71
Euroleague,"Jan 20, 2011",Virtus Roma,Petrol Olimpjia,63 - 64
Euroleague,"Jan 20, 2011",Anadolu Efes,OnSharing Siena,60 - 58
Euroleague,"Jan 20, 2011",Real Madrid,Partizan NIS,78 - 58
Euroleague,"Jan 20, 2011",Valencia,Zalgiris,73 - 59
Euroleague,"Jan 20, 2011",Olympiacos,Fenerbahce,70 - 84
Euroleague,"Jan 26, 2011",TD Systems Baskonia,Rytas Vilnius,86 - 89
Euroleague,"Jan 26, 2011",Panathinaikos,Unicaja Malaga,86 - 56
Euroleague,"Jan 26, 2011",Maccabi Playtika Tel Aviv,Virtus Roma,99 - 58
Euroleague,"Jan 26, 2011",Petrol Olimpjia,F.C. Barcelona,67 - 68
Euroleague,"Jan 26, 2011",Partizan NIS,Anadolu Efes,76 - 79
Euroleague,"Jan 26, 2011",OnSharing Siena,Real Madrid,68 - 78
Euroleague,"Jan 26, 2011",Zalgiris,Olympiacos,64 - 71
Euroleague,"Jan 26, 2011",Fenerbahce,Valencia,75 - 73
Euroleague,"Feb 3, 2011",TD Systems Baskonia,Panathinaikos,77 - 70
Euroleague,"Feb 3, 2011",Unicaja Malaga,Rytas Vilnius,98 - 91
Euroleague,"Feb 3, 2011",Maccabi Playtika Tel Aviv,Petrol Olimpjia,104 - 67
Euroleague,"Feb 3, 2011",F.C. Barcelona,Virtus Roma,80 - 56
Euroleague,"Feb 3, 2011",Real Madrid,Anadolu Efes,89 - 86
Euroleague,"Feb 3, 2011",Partizan NIS,OnSharing Siena,58 - 66
Euroleague,"Feb 3, 2011",Fenerbahce,Zalgiris,80 - 72
Euroleague,"Feb 3, 2011",Olympiacos,Valencia,77 - 62
Euroleague,"Feb 17, 2011",Panathinaikos,TD Systems Baskonia,76 - 74
Euroleague,"Feb 17, 2011",Rytas Vilnius,Unicaja Malaga,70 - 65
Euroleague,"Feb 17, 2011",Petrol Olimpjia,Maccabi Playtika Tel Aviv,62 - 83
Euroleague,"Feb 17, 2011",Virtus Roma,F.C. Barcelona,65 - 74
Euroleague,"Feb 17, 2011",Anadolu Efes,Real Madrid,60 - 77
Euroleague,"Feb 17, 2011",OnSharing Siena,Partizan NIS,77 - 74
Euroleague,"Feb 17, 2011",Zalgiris,Fenerbahce,85 - 84
Euroleague,"Feb 17, 2011",Valencia,Olympiacos,79 - 85
Euroleague,"Feb 23, 2011",Panathinaikos,Rytas Vilnius,67 - 68
Euroleague,"Feb 23, 2011",TD Systems Baskonia,Unicaja Malaga,78 - 63
Euroleague,"Feb 23, 2011",Maccabi Playtika Tel Aviv,F.C. Barcelona,85 - 92
Euroleague,"Feb 23, 2011",Petrol Olimpjia,Virtus Roma,76 - 87
Euroleague,"Feb 23, 2011",OnSharing Siena,Anadolu Efes,88 - 76
Euroleague,"Feb 23, 2011",Partizan NIS,Real Madrid,56 - 61
Euroleague,"Feb 23, 2011",Zalgiris,Valencia,74 - 80
Euroleague,"Feb 23, 2011",Fenerbahce,Olympiacos,65 - 80
Euroleague,"Mar 2, 2011",Rytas Vilnius,TD Systems Baskonia,68 - 77
Euroleague,"Mar 2, 2011",Unicaja Malaga,Panathinaikos,61 - 77
Euroleague,"Mar 2, 2011",Virtus Roma,Maccabi Playtika Tel Aviv,82 - 69
Euroleague,"Mar 2, 2011",F.C. Barcelona,Petrol Olimpjia,76 - 58
Euroleague,"Mar 2, 2011",Anadolu Efes,Partizan NIS,65 - 67
Euroleague,"Mar 2, 2011",Real Madrid,OnSharing Siena,77 - 95
Euroleague,"Mar 2, 2011",Olympiacos,Zalgiris,78 - 64
Euroleague,"Mar 2, 2011",Valencia,Fenerbahce,82 - 68
Euroleague,"Mar 22, 2011",TD Systems Baskonia,Maccabi Playtika Tel Aviv,76 - 70
Euroleague,"Mar 22, 2011",F.C. Barcelona,Panathinaikos,83 - 82
Euroleague,"Mar 22, 2011",Real Madrid,Valencia,71 - 65
Euroleague,"Mar 22, 2011",Olympiacos,OnSharing Siena,89 - 41
Euroleague,"Mar 24, 2011",TD Systems Baskonia,Maccabi Playtika Tel Aviv,81 - 83
Euroleague,"Mar 24, 2011",F.C. Barcelona,Panathinaikos,71 - 75
Euroleague,"Mar 24, 2011",Real Madrid,Valencia,75 - 81
Euroleague,"Mar 24, 2011",Olympiacos,OnSharing Siena,65 - 82
Euroleague,"Mar 29, 2011",Maccabi Playtika Tel Aviv,TD Systems Baskonia,81 - 60
Euroleague,"Mar 29, 2011",Panathinaikos,F.C. Barcelona,76 - 74
Euroleague,"Mar 29, 2011",Valencia,Real Madrid,66 - 75
Euroleague,"Mar 29, 2011",OnSharing Siena,Olympiacos,81 - 72
Euroleague,"Mar 31, 2011",Maccabi Playtika Tel Aviv,TD Systems Baskonia,99 - 77
Euroleague,"Mar 31, 2011",Panathinaikos,F.C. Barcelona,78 - 67
Euroleague,"Mar 31, 2011",Valencia,Real Madrid,81 - 72
Euroleague,"Mar 31, 2011",OnSharing Siena,Olympiacos,88 - 76
Euroleague,"Apr 7, 2011",Real Madrid,Valencia,66 - 58
Euroleague,"May 6, 2011",Panathinaikos,OnSharing Siena,77 - 69
Euroleague,"May 6, 2011",Maccabi Playtika Tel Aviv,Real Madrid,82 - 63
Euroleague,"May 8, 2011",Real Madrid,OnSharing Siena,62 - 80
Euroleague,"May 8, 2011",Maccabi Playtika Tel Aviv,Panathinaikos,70 - 78
