League,Day,Team 1,Team 2,Score
Euroleague,"Oct 15, 2015",Unicaja Malaga,Brose Bamberg,76 - 71
Euroleague,"Oct 15, 2015",Olympiacos,Cedevita Olimpija,76 - 61
Euroleague,"Oct 15, 2015",Pinar Karsiyaka,F.C. Barcelona,71 - 62
Euroleague,"Oct 15, 2015",Darussafaka,Banco di Sardegna Sassari,83 - 74
Euroleague,"Oct 15, 2015",Crvena zvezda mts,Strasbourg,81 - 59
Euroleague,"Oct 15, 2015",CSKA Moscow,Maccabi Playtika Tel Aviv,100 - 69
Euroleague,"Oct 16, 2015",Enea Zastal BC Zielona Góra,Zalgiris,62 - 66
Euroleague,"Oct 16, 2015",Limoges CSP,Anadolu Efes,77 - 89
Euroleague,"Oct 16, 2015",AX Armani Exchange Milano,TD Systems Baskonia,78 - 76
Euroleague,"Oct 16, 2015",Fenerbahce,FC Bayern München,74 - 67
Euroleague,"Oct 16, 2015",Khimki Moscow Region,Real Madrid,84 - 70
Euroleague,"Oct 16, 2015",Lokomotiv Kuban,Panathinaikos,81 - 70
Euroleague,"Oct 22, 2015",Cedevita Olimpija,Limoges CSP,80 - 84
Euroleague,"Oct 22, 2015",FC Bayern München,Khimki Moscow Region,69 - 60
Euroleague,"Oct 22, 2015",Real Madrid,Crvena zvezda mts,98 - 71
Euroleague,"Oct 22, 2015",Panathinaikos,Pinar Karsiyaka,85 - 73
Euroleague,"Oct 22, 2015",Anadolu Efes,AX Armani Exchange Milano,89 - 73
Euroleague,"Oct 22, 2015",Maccabi Playtika Tel Aviv,Unicaja Malaga,82 - 93
Euroleague,"Oct 23, 2015",Strasbourg,Fenerbahce,91 - 70
Euroleague,"Oct 23, 2015",F.C. Barcelona,Enea Zastal BC Zielona Góra,78 - 72
Euroleague,"Oct 23, 2015",TD Systems Baskonia,Olympiacos,96 - 89
Euroleague,"Oct 23, 2015",Brose Bamberg,Darussafaka,86 - 76
Euroleague,"Oct 23, 2015",Zalgiris,Lokomotiv Kuban,74 - 76
Euroleague,"Oct 23, 2015",Banco di Sardegna Sassari,CSKA Moscow,78 - 107
Euroleague,"Oct 29, 2015",Limoges CSP,TD Systems Baskonia,71 - 107
Euroleague,"Oct 29, 2015",F.C. Barcelona,Panathinaikos,77 - 52
Euroleague,"Oct 29, 2015",Pinar Karsiyaka,Zalgiris,66 - 68
