League,Day,Team 1,Team 2,Score
Euroleague,"Oct 29, 2015",Anadolu Efes,Cedevita Olimpija,75 - 81
Euroleague,"Oct 29, 2015",CSKA Moscow,Brose Bamberg,83 - 77
Euroleague,"Oct 29, 2015",Maccabi Playtika Tel Aviv,Banco di Sardegna Sassari,79 - 63
Euroleague,"Oct 30, 2015",FC Bayern München,Strasbourg,76 - 61
Euroleague,"Oct 30, 2015",Enea Zastal BC Zielona Góra,Lokomotiv Kuban,75 - 83
Euroleague,"Oct 30, 2015",Unicaja Malaga,Darussafaka,81 - 69
Euroleague,"Oct 30, 2015",AX Armani Exchange Milano,Olympiacos,66 - 71
Euroleague,"Oct 30, 2015",Fenerbahce,Real Madrid,77 - 66
Euroleague,"Oct 30, 2015",Khimki Moscow Region,Crvena zvezda mts,91 - 53
Euroleague,"Nov 5, 2015",Khimki Moscow Region,Strasbourg,88 - 62
Euroleague,"Nov 5, 2015",TD Systems Baskonia,Anadolu Efes,92 - 90
Euroleague,"Nov 5, 2015",Real Madrid,FC Bayern München,101 - 99
Euroleague,"Nov 5, 2015",AX Armani Exchange Milano,Cedevita Olimpija,68 - 77
Euroleague,"Nov 5, 2015",Olympiacos,Limoges CSP,75 - 49
Euroleague,"Nov 5, 2015",Brose Bamberg,Maccabi Playtika Tel Aviv,77 - 66
Euroleague,"Nov 5, 2015",Darussafaka,CSKA Moscow,75 - 80
Euroleague,"Nov 6, 2015",Enea Zastal BC Zielona Góra,Panathinaikos,71 - 68
Euroleague,"Nov 6, 2015",Unicaja Malaga,Banco di Sardegna Sassari,80 - 62
Euroleague,"Nov 6, 2015",Crvena zvezda mts,Fenerbahce,60 - 74
Euroleague,"Nov 6, 2015",Zalgiris,F.C. Barcelona,78 - 85
Euroleague,"Nov 6, 2015",Lokomotiv Kuban,Pinar Karsiyaka,72 - 53
Euroleague,"Nov 12, 2015",Anadolu Efes,Olympiacos,87 - 91
Euroleague,"Nov 12, 2015",FC Bayern München,Crvena zvezda mts,79 - 90
Euroleague,"Nov 12, 2015",Limoges CSP,AX Armani Exchange Milano,74 - 65
Euroleague,"Nov 12, 2015",F.C. Barcelona,Lokomotiv Kuban,72 - 68
Euroleague,"Nov 12, 2015",Maccabi Playtika Tel Aviv,Darussafaka,73 - 84
Euroleague,"Nov 13, 2015",Cedevita Olimpija,TD Systems Baskonia,76 - 67
Euroleague,"Nov 13, 2015",Strasbourg,Real Madrid,93 - 86
Euroleague,"Nov 13, 2015",Panathinaikos,Zalgiris,91 - 56
Euroleague,"Nov 13, 2015",Pinar Karsiyaka,Enea Zastal BC Zielona Góra,77 - 66
Euroleague,"Nov 13, 2015",Fenerbahce,Khimki Moscow Region,88 - 83
Euroleague,"Nov 13, 2015",CSKA Moscow,Unicaja Malaga,78 - 86
Euroleague,"Nov 13, 2015",Banco di Sardegna Sassari,Brose Bamberg,73 - 90
Euroleague,"Nov 18, 2015",Real Madrid,Khimki Moscow Region,82 - 85
Euroleague,"Nov 19, 2015",Cedevita Olimpija,Olympiacos,70 - 83
Euroleague,"Nov 19, 2015",FC Bayern München,Fenerbahce,67 - 84
Euroleague,"Nov 19, 2015",Strasbourg,Crvena zvezda mts,78 - 75
Euroleague,"Nov 19, 2015",F.C. Barcelona,Pinar Karsiyaka,107 - 79
Euroleague,"Nov 19, 2015",TD Systems Baskonia,AX Armani Exchange Milano,94 - 82
Euroleague,"Nov 19, 2015",Maccabi Playtika Tel Aviv,CSKA Moscow,82 - 88
Euroleague,"Nov 19, 2015",Zalgiris,Enea Zastal BC Zielona Góra,67 - 56
Euroleague,"Nov 20, 2015",Panathinaikos,Lokomotiv Kuban,71 - 77
Euroleague,"Nov 20, 2015",Brose Bamberg,Unicaja Malaga,73 - 53
Euroleague,"Nov 20, 2015",Anadolu Efes,Limoges CSP,92 - 74
Euroleague,"Nov 20, 2015",Banco di Sardegna Sassari,Darussafaka,60 - 68
Euroleague,"Nov 26, 2015",Enea Zastal BC Zielona Góra,F.C. Barcelona,64 - 93
Euroleague,"Nov 26, 2015",Limoges CSP,Cedevita Olimpija,69 - 78
Euroleague,"Nov 26, 2015",Unicaja Malaga,Maccabi Playtika Tel Aviv,82 - 68
Euroleague,"Nov 26, 2015",AX Armani Exchange Milano,Anadolu Efes,88 - 84
Euroleague,"Nov 26, 2015",Olympiacos,TD Systems Baskonia,59 - 52
Euroleague,"Nov 26, 2015",Fenerbahce,Strasbourg,81 - 64
Euroleague,"Nov 26, 2015",Khimki Moscow Region,FC Bayern München,70 - 81
Euroleague,"Nov 27, 2015",Pinar Karsiyaka,Panathinaikos,66 - 69
Euroleague,"Nov 27, 2015",Darussafaka,Brose Bamberg,54 - 65
Euroleague,"Nov 27, 2015",Crvena zvezda mts,Real Madrid,94 - 88
Euroleague,"Nov 27, 2015",CSKA Moscow,Banco di Sardegna Sassari,93 - 87
Euroleague,"Nov 27, 2015",Lokomotiv Kuban,Zalgiris,80 - 50
Euroleague,"Dec 2, 2015",Zalgiris,Pinar Karsiyaka,74 - 52
Euroleague,"Dec 3, 2015",Cedevita Olimpija,Anadolu Efes,75 - 81
Euroleague,"Dec 3, 2015",TD Systems Baskonia,Limoges CSP,92 - 56
Euroleague,"Dec 3, 2015",Real Madrid,Fenerbahce,80 - 73
Euroleague,"Dec 3, 2015",Olympiacos,AX Armani Exchange Milano,73 - 63
Euroleague,"Dec 3, 2015",Brose Bamberg,CSKA Moscow,88 - 100
Euroleague,"Dec 3, 2015",Banco di Sardegna Sassari,Maccabi Playtika Tel Aviv,74 - 76
Euroleague,"Dec 4, 2015",Strasbourg,FC Bayern München,69 - 82
Euroleague,"Dec 4, 2015",Panathinaikos,F.C. Barcelona,93 - 86
Euroleague,"Dec 4, 2015",Darussafaka,Unicaja Malaga,63 - 57
Euroleague,"Dec 4, 2015",Crvena zvezda mts,Khimki Moscow Region,96 - 91
Euroleague,"Dec 4, 2015",Lokomotiv Kuban,Enea Zastal BC Zielona Góra,51 - 66
Euroleague,"Dec 10, 2015",Limoges CSP,Olympiacos,67 - 76
Euroleague,"Dec 10, 2015",F.C. Barcelona,Zalgiris,88 - 92
Euroleague,"Dec 10, 2015",Pinar Karsiyaka,Lokomotiv Kuban,78 - 88
Euroleague,"Dec 10, 2015",Maccabi Playtika Tel Aviv,Brose Bamberg,85 - 65
Euroleague,"Dec 10, 2015",Banco di Sardegna Sassari,Unicaja Malaga,65 - 77
Euroleague,"Dec 11, 2015",Cedevita Olimpija,AX Armani Exchange Milano,82 - 85
Euroleague,"Dec 11, 2015",FC Bayern München,Real Madrid,67 - 86
Euroleague,"Dec 11, 2015",Strasbourg,Khimki Moscow Region,69 - 78
Euroleague,"Dec 11, 2015",Panathinaikos,Enea Zastal BC Zielona Góra,82 - 51
Euroleague,"Dec 11, 2015",Anadolu Efes,TD Systems Baskonia,95 - 86
Euroleague,"Dec 11, 2015",Fenerbahce,Crvena zvezda mts,79 - 61
Euroleague,"Dec 11, 2015",CSKA Moscow,Darussafaka,94 - 66
Euroleague,"Dec 17, 2015",TD Systems Baskonia,Cedevita Olimpija,92 - 70
Euroleague,"Dec 17, 2015",Real Madrid,Strasbourg,97 - 65
Euroleague,"Dec 17, 2015",Brose Bamberg,Banco di Sardegna Sassari,86 - 54
Euroleague,"Dec 17, 2015",Darussafaka,Maccabi Playtika Tel Aviv,66 - 70
Euroleague,"Dec 17, 2015",Khimki Moscow Region,Fenerbahce,68 - 70
Euroleague,"Dec 17, 2015",Zalgiris,Panathinaikos,72 - 75
Euroleague,"Dec 18, 2015",Enea Zastal BC Zielona Góra,Pinar Karsiyaka,81 - 83
Euroleague,"Dec 18, 2015",Unicaja Malaga,CSKA Moscow,76 - 88
Euroleague,"Dec 18, 2015",AX Armani Exchange Milano,Limoges CSP,69 - 77
Euroleague,"Dec 18, 2015",Olympiacos,Anadolu Efes,68 - 81
Euroleague,"Dec 18, 2015",Crvena zvezda mts,FC Bayern München,85 - 76
Euroleague,"Dec 18, 2015",Lokomotiv Kuban,F.C. Barcelona,78 - 74
Euroleague,"Dec 29, 2015",Cedevita Olimpija,Lokomotiv Kuban,75 - 89
Euroleague,"Dec 29, 2015",Real Madrid,Brose Bamberg,82 - 79
Euroleague,"Dec 29, 2015",Unicaja Malaga,Darussafaka,70 - 62
Euroleague,"Dec 29, 2015",Olympiacos,F.C. Barcelona,74 - 62
Euroleague,"Dec 29, 2015",Anadolu Efes,Crvena zvezda mts,85 - 84
Euroleague,"Dec 29, 2015",Fenerbahce,Panathinaikos,82 - 75
Euroleague,"Dec 29, 2015",Khimki Moscow Region,CSKA Moscow,91 - 89
Euroleague,"Dec 29, 2015",Zalgiris,TD Systems Baskonia,68 - 89
Euroleague,"Jan 7, 2016",F.C. Barcelona,Khimki Moscow Region,87 - 70
Euroleague,"Jan 7, 2016",TD Systems Baskonia,Olympiacos,76 - 82
Euroleague,"Jan 7, 2016",Panathinaikos,Unicaja Malaga,68 - 66
Euroleague,"Jan 7, 2016",Brose Bamberg,Zalgiris,96 - 63
Euroleague,"Jan 7, 2016",Darussafaka,Cedevita Olimpija,72 - 79
Euroleague,"Jan 7, 2016",Crvena zvezda mts,Fenerbahce,65 - 88
Euroleague,"Jan 7, 2016",CSKA Moscow,Real Madrid,95 - 81
Euroleague,"Jan 7, 2016",Lokomotiv Kuban,Anadolu Efes,78 - 77
Euroleague,"Jan 14, 2016",Real Madrid,Zalgiris,92 - 86
Euroleague,"Jan 14, 2016",Unicaja Malaga,Cedevita Olimpija,90 - 67
Euroleague,"Jan 14, 2016",Panathinaikos,Crvena zvezda mts,63 - 74
Euroleague,"Jan 14, 2016",Olympiacos,Brose Bamberg,72 - 77
Euroleague,"Jan 14, 2016",Anadolu Efes,Darussafaka,84 - 71
Euroleague,"Jan 14, 2016",Fenerbahce,Lokomotiv Kuban,85 - 79
Euroleague,"Jan 14, 2016",Khimki Moscow Region,TD Systems Baskonia,76 - 68
Euroleague,"Jan 14, 2016",CSKA Moscow,F.C. Barcelona,93 - 82
Euroleague,"Jan 21, 2016",Cedevita Olimpija,Anadolu Efes,84 - 80
Euroleague,"Jan 21, 2016",TD Systems Baskonia,CSKA Moscow,81 - 71
Euroleague,"Jan 21, 2016",Real Madrid,F.C. Barcelona,86 - 87
Euroleague,"Jan 21, 2016",Lokomotiv Kuban,Panathinaikos,76 - 67
Euroleague,"Jan 22, 2016",Darussafaka,Fenerbahce,100 - 106
Euroleague,"Jan 22, 2016",Crvena zvezda mts,Unicaja Malaga,87 - 73
Euroleague,"Jan 22, 2016",Khimki Moscow Region,Brose Bamberg,78 - 61
Euroleague,"Jan 22, 2016",Zalgiris,Olympiacos,75 - 55
Euroleague,"Jan 28, 2016",Real Madrid,Olympiacos,84 - 72
Euroleague,"Jan 28, 2016",Fenerbahce,Cedevita Olimpija,86 - 73
Euroleague,"Jan 28, 2016",CSKA Moscow,Brose Bamberg,91 - 70
Euroleague,"Jan 29, 2016",F.C. Barcelona,TD Systems Baskonia,78 - 81
Euroleague,"Jan 29, 2016",Unicaja Malaga,Anadolu Efes,75 - 85
Euroleague,"Jan 29, 2016",Panathinaikos,Darussafaka,82 - 79
Euroleague,"Jan 29, 2016",Crvena zvezda mts,Lokomotiv Kuban,80 - 66
Euroleague,"Jan 29, 2016",Khimki Moscow Region,Zalgiris,111 - 80
Euroleague,"Feb 4, 2016",Cedevita Olimpija,Panathinaikos,60 - 78
Euroleague,"Feb 4, 2016",Unicaja Malaga,Lokomotiv Kuban,64 - 82
Euroleague,"Feb 4, 2016",Brose Bamberg,F.C. Barcelona,74 - 70
Euroleague,"Feb 4, 2016",Darussafaka,Crvena zvezda mts,69 - 66
Euroleague,"Feb 5, 2016",Real Madrid,TD Systems Baskonia,68 - 77
Euroleague,"Feb 5, 2016",Olympiacos,Khimki Moscow Region,89 - 77
Euroleague,"Feb 5, 2016",Anadolu Efes,Fenerbahce,73 - 77
Euroleague,"Feb 5, 2016",Zalgiris,CSKA Moscow,59 - 94
Euroleague,"Feb 11, 2016",TD Systems Baskonia,Brose Bamberg,90 - 64
Euroleague,"Feb 11, 2016",Fenerbahce,Unicaja Malaga,80 - 59
Euroleague,"Feb 11, 2016",Crvena zvezda mts,Cedevita Olimpija,94 - 74
Euroleague,"Feb 11, 2016",Khimki Moscow Region,Real Madrid,82 - 93
Euroleague,"Feb 12, 2016",F.C. Barcelona,Zalgiris,92 - 86
Euroleague,"Feb 12, 2016",Panathinaikos,Anadolu Efes,83 - 78
Euroleague,"Feb 12, 2016",CSKA Moscow,Olympiacos,92 - 85
Euroleague,"Feb 12, 2016",Lokomotiv Kuban,Darussafaka,82 - 58
Euroleague,"Feb 25, 2016",TD Systems Baskonia,Zalgiris,71 - 65
Euroleague,"Feb 25, 2016",Panathinaikos,Fenerbahce,76 - 71
Euroleague,"Feb 25, 2016",Brose Bamberg,Real Madrid,86 - 90
Euroleague,"Feb 25, 2016",Darussafaka,Unicaja Malaga,78 - 55
Euroleague,"Feb 25, 2016",CSKA Moscow,Khimki Moscow Region,108 - 98
Euroleague,"Feb 25, 2016",Lokomotiv Kuban,Cedevita Olimpija,87 - 63
Euroleague,"Feb 26, 2016",F.C. Barcelona,Olympiacos,82 - 66
Euroleague,"Feb 26, 2016",Crvena zvezda mts,Anadolu Efes,91 - 82
Euroleague,"Mar 2, 2016",Real Madrid,CSKA Moscow,87 - 96
Euroleague,"Mar 3, 2016",Cedevita Olimpija,Darussafaka,77 - 83
Euroleague,"Mar 3, 2016",Unicaja Malaga,Panathinaikos,58 - 76
Euroleague,"Mar 3, 2016",Anadolu Efes,Lokomotiv Kuban,61 - 76
Euroleague,"Mar 3, 2016",Khimki Moscow Region,F.C. Barcelona,75 - 61
Euroleague,"Mar 4, 2016",Olympiacos,TD Systems Baskonia,82 - 68
Euroleague,"Mar 4, 2016",Fenerbahce,Crvena zvezda mts,72 - 65
Euroleague,"Mar 4, 2016",Zalgiris,Brose Bamberg,75 - 73
Euroleague,"Mar 10, 2016",Cedevita Olimpija,Unicaja Malaga,78 - 91
Euroleague,"Mar 10, 2016",TD Systems Baskonia,Khimki Moscow Region,98 - 83
Euroleague,"Mar 10, 2016",Brose Bamberg,Olympiacos,72 - 71
Euroleague,"Mar 10, 2016",Lokomotiv Kuban,Fenerbahce,52 - 55
Euroleague,"Mar 11, 2016",F.C. Barcelona,CSKA Moscow,100 - 98
Euroleague,"Mar 11, 2016",Darussafaka,Anadolu Efes,68 - 72
Euroleague,"Mar 11, 2016",Crvena zvezda mts,Panathinaikos,69 - 67
Euroleague,"Mar 11, 2016",Zalgiris,Real Madrid,75 - 90
Euroleague,"Mar 17, 2016",F.C. Barcelona,Real Madrid,72 - 65
Euroleague,"Mar 17, 2016",Panathinaikos,Lokomotiv Kuban,84 - 79
Euroleague,"Mar 17, 2016",Brose Bamberg,Khimki Moscow Region,84 - 79
Euroleague,"Mar 17, 2016",Fenerbahce,Darussafaka,77 - 69
Euroleague,"Mar 17, 2016",CSKA Moscow,TD Systems Baskonia,90 - 78
Euroleague,"Mar 18, 2016",Unicaja Malaga,Crvena zvezda mts,72 - 78
Euroleague,"Mar 18, 2016",Olympiacos,Zalgiris,74 - 59
Euroleague,"Mar 18, 2016",Anadolu Efes,Cedevita Olimpija,80 - 76
Euroleague,"Mar 23, 2016",TD Systems Baskonia,F.C. Barcelona,75 - 71
Euroleague,"Mar 24, 2016",Brose Bamberg,CSKA Moscow,91 - 83
Euroleague,"Mar 24, 2016",Darussafaka,Panathinaikos,84 - 86
Euroleague,"Mar 24, 2016",Lokomotiv Kuban,Crvena zvezda mts,86 - 62
Euroleague,"Mar 25, 2016",Cedevita Olimpija,Fenerbahce,89 - 59
Euroleague,"Mar 25, 2016",Olympiacos,Real Madrid,99 - 84
Euroleague,"Mar 25, 2016",Anadolu Efes,Unicaja Malaga,87 - 67
Euroleague,"Mar 25, 2016",Zalgiris,Khimki Moscow Region,71 - 76
Euroleague,"Mar 31, 2016",Crvena zvezda mts,Darussafaka,61 - 80
Euroleague,"Mar 31, 2016",F.C. Barcelona,Brose Bamberg,75 - 57
Euroleague,"Mar 31, 2016",Khimki Moscow Region,Olympiacos,98 - 66
Euroleague,"Mar 31, 2016",Lokomotiv Kuban,Unicaja Malaga,81 - 60
Euroleague,"Apr 1, 2016",TD Systems Baskonia,Real Madrid,89 - 88
Euroleague,"Apr 1, 2016",Panathinaikos,Cedevita Olimpija,76 - 60
Euroleague,"Apr 1, 2016",Fenerbahce,Anadolu Efes,90 - 86
Euroleague,"Apr 1, 2016",CSKA Moscow,Zalgiris,100 - 86
Euroleague,"Apr 7, 2016",Real Madrid,Khimki Moscow Region,83 - 70
Euroleague,"Apr 7, 2016",Brose Bamberg,TD Systems Baskonia,89 - 69
Euroleague,"Apr 7, 2016",Anadolu Efes,Panathinaikos,91 - 86
Euroleague,"Apr 7, 2016",Zalgiris,F.C. Barcelona,59 - 66
Euroleague,"Apr 8, 2016",Cedevita Olimpija,Crvena zvezda mts,83 - 62
Euroleague,"Apr 8, 2016",Unicaja Malaga,Fenerbahce,71 - 67
Euroleague,"Apr 8, 2016",Olympiacos,CSKA Moscow,96 - 99
Euroleague,"Apr 8, 2016",Darussafaka,Lokomotiv Kuban,87 - 86
Euroleague,"Apr 12, 2016",Fenerbahce,Real Madrid,75 - 69
Euroleague,"Apr 12, 2016",CSKA Moscow,Crvena zvezda mts,84 - 74
Euroleague,"Apr 13, 2016",TD Systems Baskonia,Panathinaikos,84 - 68
Euroleague,"Apr 13, 2016",Lokomotiv Kuban,F.C. Barcelona,66 - 61
Euroleague,"Apr 14, 2016",Fenerbahce,Real Madrid,100 - 78
Euroleague,"Apr 14, 2016",CSKA Moscow,Crvena zvezda mts,77 - 76
Euroleague,"Apr 15, 2016",TD Systems Baskonia,Panathinaikos,82 - 78
Euroleague,"Apr 15, 2016",Lokomotiv Kuban,F.C. Barcelona,66 - 92
Euroleague,"Apr 18, 2016",Crvena zvezda mts,CSKA Moscow,71 - 78
Euroleague,"Apr 19, 2016",F.C. Barcelona,Lokomotiv Kuban,82 - 70
Euroleague,"Apr 19, 2016",Real Madrid,Fenerbahce,63 - 75
Euroleague,"Apr 19, 2016",Panathinaikos,TD Systems Baskonia,75 - 84
Euroleague,"Apr 21, 2016",F.C. Barcelona,Lokomotiv Kuban,80 - 92
Euroleague,"Apr 26, 2016",Lokomotiv Kuban,F.C. Barcelona,81 - 67
Euroleague,"May 13, 2016",Fenerbahce,TD Systems Baskonia,88 - 77
Euroleague,"May 13, 2016",CSKA Moscow,Lokomotiv Kuban,88 - 81
Euroleague,"May 15, 2016",TD Systems Baskonia,Lokomotiv Kuban,75 - 85
Euroleague,"May 15, 2016",Fenerbahce,CSKA Moscow,96 - 101
