League,Day,Team 1,Team 2,Score
Euroleague,"Oct 17, 2011",Zalgiris,CSKA Moscow,74 - 87
Euroleague,"Oct 19, 2011",UNICS Kazan,OnSharing Siena,71 - 79
Euroleague,"Oct 19, 2011",Fenerbahce,TD Systems Baskonia,66 - 69
Euroleague,"Oct 19, 2011",Acqua S.Bernardo Cantù,Nancy,80 - 69
Euroleague,"Oct 19, 2011",Asseco Arka Gdynia,Galatasaray,72 - 76
Euroleague,"Oct 20, 2011",Partizan NIS,Anadolu Efes,73 - 84
Euroleague,"Oct 20, 2011",Proximus Spirou,Real Madrid,76 - 100
Euroleague,"Oct 20, 2011",Panathinaikos,Unicaja Malaga,98 - 77
Euroleague,"Oct 20, 2011",AX Armani Exchange Milano,Maccabi Playtika Tel Aviv,89 - 82
Euroleague,"Oct 20, 2011",Petrol Olimpjia,F.C. Barcelona,64 - 86
Euroleague,"Oct 20, 2011",Brose Bamberg,Zagreb CO,96 - 65
Euroleague,"Oct 21, 2011",RETAbet Bilbao,Olympiacos,76 - 61
Euroleague,"Oct 25, 2011",Unicaja Malaga,Zalgiris,85 - 78
Euroleague,"Oct 26, 2011",CSKA Moscow,Brose Bamberg,94 - 74
Euroleague,"Oct 26, 2011",Zagreb CO,Panathinaikos,62 - 81
Euroleague,"Oct 26, 2011",Anadolu Efes,Proximus Spirou,79 - 80
Euroleague,"Oct 26, 2011",TD Systems Baskonia,Acqua S.Bernardo Cantù,81 - 69
Euroleague,"Oct 27, 2011",Galatasaray,UNICS Kazan,64 - 68
Euroleague,"Oct 27, 2011",OnSharing Siena,Petrol Olimpjia,79 - 57
Euroleague,"Oct 27, 2011",Olympiacos,Fenerbahce,81 - 74
Euroleague,"Oct 27, 2011",Nancy,RETAbet Bilbao,87 - 73
Euroleague,"Oct 27, 2011",Real Madrid,AX Armani Exchange Milano,85 - 78
Euroleague,"Oct 27, 2011",F.C. Barcelona,Asseco Arka Gdynia,88 - 61
