League,Day,Team 1,Team 2,Score
Euroleague,"Oct 22, 2007",Asseco Arka Gdynia,CSKA Moscow,69 - 88
Euroleague,"Oct 24, 2007",OnSharing Siena,Petrol Olimpjia,80 - 52
Euroleague,"Oct 24, 2007",Virtus Segafredo Bologna,Zalgiris,81 - 75
Euroleague,"Oct 24, 2007",Cibona,Anadolu Efes,93 - 85
Euroleague,"Oct 24, 2007",Aris BC,Unicaja Malaga,87 - 83
Euroleague,"Oct 24, 2007",Panathinaikos,Virtus Roma,86 - 83
Euroleague,"Oct 24, 2007",Partizan NIS,F.C. Barcelona,81 - 78
Euroleague,"Oct 25, 2007",Olympiacos,TD Systems Baskonia,95 - 90
Euroleague,"Oct 25, 2007",AX Armani Exchange Milano,Rytas Vilnius,76 - 83
Euroleague,"Oct 25, 2007",Maccabi Playtika Tel Aviv,Le Mans,74 - 71
Euroleague,"Oct 25, 2007",Fenerbahce,Real Madrid,72 - 80
Euroleague,"Oct 25, 2007",Brose Bamberg,Roanne,61 - 64
Euroleague,"Oct 31, 2007",CSKA Moscow,OnSharing Siena,74 - 70
Euroleague,"Oct 31, 2007",Zalgiris,Asseco Arka Gdynia,82 - 72
Euroleague,"Oct 31, 2007",Anadolu Efes,AX Armani Exchange Milano,80 - 70
Euroleague,"Oct 31, 2007",Unicaja Malaga,Cibona,102 - 64
Euroleague,"Oct 31, 2007",Panathinaikos,Brose Bamberg,66 - 61
Euroleague,"Oct 31, 2007",Roanne,Partizan NIS,87 - 88
Euroleague,"Nov 1, 2007",TD Systems Baskonia,Virtus Segafredo Bologna,98 - 71
Euroleague,"Nov 1, 2007",Petrol Olimpjia,Olympiacos,87 - 78
Euroleague,"Nov 1, 2007",Rytas Vilnius,Maccabi Playtika Tel Aviv,92 - 74
Euroleague,"Nov 1, 2007",Le Mans,Aris BC,66 - 69
Euroleague,"Nov 1, 2007",Real Madrid,Virtus Roma,89 - 83
Euroleague,"Nov 1, 2007",F.C. Barcelona,Fenerbahce,82 - 67
Euroleague,"Nov 6, 2007",Fenerbahce,Virtus Roma,85 - 66
Euroleague,"Nov 7, 2007",OnSharing Siena,Zalgiris,89 - 64
Euroleague,"Nov 7, 2007",Petrol Olimpjia,CSKA Moscow,74 - 72
Euroleague,"Nov 7, 2007",Aris BC,Cibona,77 - 73
Euroleague,"Nov 7, 2007",Le Mans,Rytas Vilnius,77 - 83
Euroleague,"Nov 7, 2007",Brose Bamberg,Real Madrid,49 - 59
Euroleague,"Nov 7, 2007",Partizan NIS,Panathinaikos,90 - 94
Euroleague,"Nov 8, 2007",Asseco Arka Gdynia,TD Systems Baskonia,66 - 82
Euroleague,"Nov 8, 2007",Olympiacos,Virtus Segafredo Bologna,104 - 76
Euroleague,"Nov 8, 2007",Maccabi Playtika Tel Aviv,Anadolu Efes,73 - 67
Euroleague,"Nov 8, 2007",AX Armani Exchange Milano,Unicaja Malaga,65 - 74
Euroleague,"Nov 8, 2007",F.C. Barcelona,Roanne,82 - 76
Euroleague,"Nov 14, 2007",CSKA Moscow,Olympiacos,88 - 79
Euroleague,"Nov 14, 2007",Virtus Segafredo Bologna,Asseco Arka Gdynia,75 - 87
Euroleague,"Nov 14, 2007",Cibona,AX Armani Exchange Milano,100 - 91
Euroleague,"Nov 14, 2007",Rytas Vilnius,Aris BC,77 - 70
Euroleague,"Nov 14, 2007",Roanne,Fenerbahce,90 - 97
Euroleague,"Nov 14, 2007",Real Madrid,Partizan NIS,75 - 64
Euroleague,"Nov 15, 2007",Zalgiris,Petrol Olimpjia,91 - 72
Euroleague,"Nov 15, 2007",TD Systems Baskonia,OnSharing Siena,76 - 61
Euroleague,"Nov 15, 2007",Anadolu Efes,Le Mans,66 - 63
Euroleague,"Nov 15, 2007",Unicaja Malaga,Maccabi Playtika Tel Aviv,93 - 70
Euroleague,"Nov 15, 2007",Virtus Roma,Brose Bamberg,81 - 57
Euroleague,"Nov 15, 2007",Panathinaikos,F.C. Barcelona,76 - 66
Euroleague,"Nov 21, 2007",CSKA Moscow,Zalgiris,78 - 70
Euroleague,"Nov 21, 2007",Olympiacos,Asseco Arka Gdynia,109 - 65
Euroleague,"Nov 21, 2007",OnSharing Siena,Virtus Segafredo Bologna,80 - 69
Euroleague,"Nov 21, 2007",Petrol Olimpjia,TD Systems Baskonia,78 - 92
Euroleague,"Nov 21, 2007",Rytas Vilnius,Anadolu Efes,70 - 77
Euroleague,"Nov 21, 2007",Partizan NIS,Virtus Roma,91 - 86
Euroleague,"Nov 21, 2007",Roanne,Panathinaikos,83 - 123
Euroleague,"Nov 22, 2007",Maccabi Playtika Tel Aviv,Cibona,80 - 74
Euroleague,"Nov 22, 2007",Le Mans,Unicaja Malaga,74 - 83
Euroleague,"Nov 22, 2007",Aris BC,AX Armani Exchange Milano,70 - 77
Euroleague,"Nov 22, 2007",Fenerbahce,Brose Bamberg,79 - 77
Euroleague,"Nov 22, 2007",F.C. Barcelona,Real Madrid,73 - 62
