League,Day,Team 1,Team 2,Score
Euroleague,"Nov 3, 2004",Partizan NIS,Asseco Arka Gdynia,64 - 66
Euroleague,"Nov 3, 2004",Real Madrid,Cibona,69 - 70
Euroleague,"Nov 3, 2004",Olympiacos,Fortitudo Lavoropiù Bologna,71 - 76
Euroleague,"Nov 3, 2004",Anadolu Efes,Movistar Estudiantes,81 - 72
Euroleague,"Nov 3, 2004",Carpegna Prosciutto Pesaro,Petrol Olimpjia,77 - 68
Euroleague,"Nov 3, 2004",F.C. Barcelona,AEK Athens,69 - 57
Euroleague,"Nov 3, 2004",Zalgiris,Maccabi Playtika Tel Aviv,75 - 102
Euroleague,"Nov 3, 2004",OnSharing Siena,LDLC ASVEL,86 - 70
Euroleague,"Nov 3, 2004",Fraport Skyliners,Trabzonspor,52 - 82
Euroleague,"Nov 3, 2004",Pau-Lacq-Orthez,TD Systems Baskonia,81 - 87
Euroleague,"Nov 3, 2004",Unicaja Malaga,Panathinaikos,75 - 83
Euroleague,"Nov 3, 2004",CSKA Moscow,Benetton Treviso,80 - 79
Euroleague,"Nov 10, 2004",Panathinaikos,CSKA Moscow,73 - 85
Euroleague,"Nov 10, 2004",TD Systems Baskonia,Unicaja Malaga,83 - 79
Euroleague,"Nov 10, 2004",Trabzonspor,Pau-Lacq-Orthez,70 - 75
Euroleague,"Nov 10, 2004",Movistar Estudiantes,Partizan NIS,71 - 59
Euroleague,"Nov 10, 2004",Fortitudo Lavoropiù Bologna,Anadolu Efes,92 - 71
Euroleague,"Nov 10, 2004",Cibona,Olympiacos,60 - 64
Euroleague,"Nov 10, 2004",Asseco Arka Gdynia,Real Madrid,61 - 69
Euroleague,"Nov 10, 2004",LDLC ASVEL,Carpegna Prosciutto Pesaro,73 - 82
Euroleague,"Nov 10, 2004",Maccabi Playtika Tel Aviv,OnSharing Siena,93 - 88
Euroleague,"Nov 10, 2004",AEK Athens,Zalgiris,76 - 86
Euroleague,"Nov 10, 2004",Petrol Olimpjia,F.C. Barcelona,69 - 83
Euroleague,"Nov 10, 2004",Benetton Treviso,Fraport Skyliners,93 - 60
Euroleague,"Nov 17, 2004",Partizan NIS,Real Madrid,87 - 92
Euroleague,"Nov 17, 2004",Olympiacos,Asseco Arka Gdynia,75 - 77
Euroleague,"Nov 17, 2004",Anadolu Efes,Cibona,72 - 70
Euroleague,"Nov 17, 2004",Movistar Estudiantes,Fortitudo Lavoropiù Bologna,84 - 97
Euroleague,"Nov 17, 2004",Carpegna Prosciutto Pesaro,F.C. Barcelona,62 - 80
Euroleague,"Nov 17, 2004",Zalgiris,Petrol Olimpjia,78 - 83
Euroleague,"Nov 17, 2004",OnSharing Siena,AEK Athens,77 - 58
Euroleague,"Nov 17, 2004",LDLC ASVEL,Maccabi Playtika Tel Aviv,80 - 85
Euroleague,"Nov 17, 2004",Fraport Skyliners,Pau-Lacq-Orthez,86 - 62
Euroleague,"Nov 17, 2004",Unicaja Malaga,Trabzonspor,73 - 62
Euroleague,"Nov 17, 2004",CSKA Moscow,TD Systems Baskonia,88 - 83
Euroleague,"Nov 17, 2004",Benetton Treviso,Panathinaikos,83 - 77
Euroleague,"Nov 24, 2004",Fortitudo Lavoropiù Bologna,Partizan NIS,103 - 91
Euroleague,"Nov 24, 2004",Cibona,Movistar Estudiantes,85 - 78
Euroleague,"Nov 24, 2004",Asseco Arka Gdynia,Anadolu Efes,67 - 73
Euroleague,"Nov 24, 2004",Real Madrid,Olympiacos,76 - 62
Euroleague,"Nov 24, 2004",Maccabi Playtika Tel Aviv,Carpegna Prosciutto Pesaro,123 - 73
Euroleague,"Nov 24, 2004",AEK Athens,LDLC ASVEL,89 - 63
Euroleague,"Nov 24, 2004",Petrol Olimpjia,OnSharing Siena,79 - 74
Euroleague,"Nov 24, 2004",F.C. Barcelona,Zalgiris,98 - 102
Euroleague,"Nov 24, 2004",Panathinaikos,Fraport Skyliners,72 - 67
Euroleague,"Nov 24, 2004",TD Systems Baskonia,Benetton Treviso,73 - 76
Euroleague,"Nov 24, 2004",Trabzonspor,CSKA Moscow,82 - 87
Euroleague,"Nov 24, 2004",Pau-Lacq-Orthez,Unicaja Malaga,75 - 97
Euroleague,"Dec 1, 2004",Partizan NIS,Olympiacos,87 - 73
Euroleague,"Dec 1, 2004",Anadolu Efes,Real Madrid,74 - 70
Euroleague,"Dec 1, 2004",Movistar Estudiantes,Asseco Arka Gdynia,75 - 67
Euroleague,"Dec 1, 2004",Fortitudo Lavoropiù Bologna,Cibona,99 - 88
Euroleague,"Dec 1, 2004",Carpegna Prosciutto Pesaro,Zalgiris,86 - 82
Euroleague,"Dec 1, 2004",OnSharing Siena,F.C. Barcelona,88 - 85
Euroleague,"Dec 1, 2004",LDLC ASVEL,Petrol Olimpjia,61 - 54
Euroleague,"Dec 1, 2004",AEK Athens,Maccabi Playtika Tel Aviv,110 - 113
Euroleague,"Dec 1, 2004",Fraport Skyliners,Unicaja Malaga,73 - 67
Euroleague,"Dec 1, 2004",CSKA Moscow,Pau-Lacq-Orthez,80 - 60
Euroleague,"Dec 1, 2004",Benetton Treviso,Trabzonspor,50 - 65
Euroleague,"Dec 1, 2004",Panathinaikos,TD Systems Baskonia,99 - 95
Euroleague,"Dec 8, 2004",Partizan NIS,Cibona,78 - 81
Euroleague,"Dec 8, 2004",Asseco Arka Gdynia,Fortitudo Lavoropiù Bologna,78 - 68
Euroleague,"Dec 8, 2004",Real Madrid,Movistar Estudiantes,91 - 66
Euroleague,"Dec 8, 2004",Olympiacos,Anadolu Efes,59 - 110
Euroleague,"Dec 8, 2004",Carpegna Prosciutto Pesaro,AEK Athens,88 - 90
Euroleague,"Dec 8, 2004",Petrol Olimpjia,Maccabi Playtika Tel Aviv,93 - 81
Euroleague,"Dec 8, 2004",F.C. Barcelona,LDLC ASVEL,73 - 59
Euroleague,"Dec 8, 2004",Zalgiris,OnSharing Siena,90 - 81
Euroleague,"Dec 8, 2004",Fraport Skyliners,TD Systems Baskonia,80 - 97
Euroleague,"Dec 8, 2004",Trabzonspor,Panathinaikos,66 - 64
Euroleague,"Dec 8, 2004",Pau-Lacq-Orthez,Benetton Treviso,79 - 72
Euroleague,"Dec 8, 2004",Unicaja Malaga,CSKA Moscow,62 - 73
Euroleague,"Dec 15, 2004",Anadolu Efes,Partizan NIS,78 - 63
Euroleague,"Dec 15, 2004",Movistar Estudiantes,Olympiacos,87 - 57
Euroleague,"Dec 15, 2004",Fortitudo Lavoropiù Bologna,Real Madrid,77 - 70
Euroleague,"Dec 15, 2004",Cibona,Asseco Arka Gdynia,88 - 57
Euroleague,"Dec 15, 2004",OnSharing Siena,Carpegna Prosciutto Pesaro,93 - 70
Euroleague,"Dec 15, 2004",LDLC ASVEL,Zalgiris,85 - 83
Euroleague,"Dec 15, 2004",Maccabi Playtika Tel Aviv,F.C. Barcelona,84 - 59
Euroleague,"Dec 15, 2004",AEK Athens,Petrol Olimpjia,76 - 75
Euroleague,"Dec 15, 2004",CSKA Moscow,Fraport Skyliners,86 - 82
Euroleague,"Dec 15, 2004",Benetton Treviso,Unicaja Malaga,72 - 62
Euroleague,"Dec 15, 2004",Panathinaikos,Pau-Lacq-Orthez,103 - 89
Euroleague,"Dec 15, 2004",TD Systems Baskonia,Trabzonspor,71 - 81
Euroleague,"Dec 22, 2004",Asseco Arka Gdynia,Partizan NIS,76 - 68
Euroleague,"Dec 22, 2004",Cibona,Real Madrid,73 - 58
Euroleague,"Dec 22, 2004",Fortitudo Lavoropiù Bologna,Olympiacos,94 - 77
Euroleague,"Dec 22, 2004",Movistar Estudiantes,Anadolu Efes,61 - 66
Euroleague,"Dec 22, 2004",Petrol Olimpjia,Carpegna Prosciutto Pesaro,63 - 74
Euroleague,"Dec 22, 2004",AEK Athens,F.C. Barcelona,91 - 79
Euroleague,"Dec 22, 2004",Maccabi Playtika Tel Aviv,Zalgiris,102 - 104
Euroleague,"Dec 22, 2004",LDLC ASVEL,OnSharing Siena,54 - 78
Euroleague,"Dec 22, 2004",Trabzonspor,Fraport Skyliners,79 - 60
Euroleague,"Dec 22, 2004",TD Systems Baskonia,Pau-Lacq-Orthez,93 - 87
Euroleague,"Dec 22, 2004",Panathinaikos,Unicaja Malaga,88 - 69
Euroleague,"Dec 22, 2004",Benetton Treviso,CSKA Moscow,72 - 80
Euroleague,"Jan 5, 2005",Partizan NIS,Movistar Estudiantes,83 - 77
Euroleague,"Jan 5, 2005",Anadolu Efes,Fortitudo Lavoropiù Bologna,79 - 73
Euroleague,"Jan 5, 2005",Olympiacos,Cibona,89 - 83
Euroleague,"Jan 5, 2005",Real Madrid,Asseco Arka Gdynia,76 - 66
Euroleague,"Jan 5, 2005",Carpegna Prosciutto Pesaro,LDLC ASVEL,95 - 86
Euroleague,"Jan 5, 2005",OnSharing Siena,Maccabi Playtika Tel Aviv,86 - 90
Euroleague,"Jan 5, 2005",Zalgiris,AEK Athens,81 - 71
Euroleague,"Jan 5, 2005",F.C. Barcelona,Petrol Olimpjia,79 - 69
Euroleague,"Jan 5, 2005",Fraport Skyliners,Benetton Treviso,58 - 77
Euroleague,"Jan 5, 2005",CSKA Moscow,Panathinaikos,75 - 72
Euroleague,"Jan 5, 2005",Unicaja Malaga,TD Systems Baskonia,78 - 76
Euroleague,"Jan 5, 2005",Pau-Lacq-Orthez,Trabzonspor,82 - 80
Euroleague,"Jan 12, 2005",Real Madrid,Partizan NIS,82 - 66
Euroleague,"Jan 12, 2005",Asseco Arka Gdynia,Olympiacos,77 - 71
Euroleague,"Jan 12, 2005",Cibona,Anadolu Efes,82 - 72
Euroleague,"Jan 12, 2005",Fortitudo Lavoropiù Bologna,Movistar Estudiantes,84 - 78
Euroleague,"Jan 12, 2005",F.C. Barcelona,Carpegna Prosciutto Pesaro,77 - 70
Euroleague,"Jan 12, 2005",Petrol Olimpjia,Zalgiris,86 - 73
Euroleague,"Jan 12, 2005",AEK Athens,OnSharing Siena,75 - 71
Euroleague,"Jan 12, 2005",Maccabi Playtika Tel Aviv,LDLC ASVEL,89 - 69
Euroleague,"Jan 12, 2005",Pau-Lacq-Orthez,Fraport Skyliners,81 - 86
Euroleague,"Jan 12, 2005",Trabzonspor,Unicaja Malaga,66 - 62
Euroleague,"Jan 12, 2005",TD Systems Baskonia,CSKA Moscow,81 - 85
Euroleague,"Jan 12, 2005",Panathinaikos,Benetton Treviso,80 - 71
Euroleague,"Jan 19, 2005",Partizan NIS,Fortitudo Lavoropiù Bologna,85 - 88
Euroleague,"Jan 19, 2005",Movistar Estudiantes,Cibona,81 - 87
Euroleague,"Jan 19, 2005",Anadolu Efes,Asseco Arka Gdynia,78 - 65
Euroleague,"Jan 19, 2005",Olympiacos,Real Madrid,75 - 83
Euroleague,"Jan 19, 2005",Carpegna Prosciutto Pesaro,Maccabi Playtika Tel Aviv,97 - 95
Euroleague,"Jan 19, 2005",LDLC ASVEL,AEK Athens,69 - 73
Euroleague,"Jan 19, 2005",OnSharing Siena,Petrol Olimpjia,74 - 70
Euroleague,"Jan 19, 2005",Zalgiris,F.C. Barcelona,80 - 81
Euroleague,"Jan 19, 2005",Fraport Skyliners,Panathinaikos,68 - 66
Euroleague,"Jan 19, 2005",Benetton Treviso,TD Systems Baskonia,75 - 63
Euroleague,"Jan 19, 2005",CSKA Moscow,Trabzonspor,90 - 77
Euroleague,"Jan 19, 2005",Unicaja Malaga,Pau-Lacq-Orthez,80 - 71
Euroleague,"Jan 26, 2005",Olympiacos,Partizan NIS,100 - 74
Euroleague,"Jan 26, 2005",Real Madrid,Anadolu Efes,57 - 72
Euroleague,"Jan 26, 2005",Asseco Arka Gdynia,Movistar Estudiantes,78 - 74
Euroleague,"Jan 26, 2005",Cibona,Fortitudo Lavoropiù Bologna,89 - 96
Euroleague,"Jan 26, 2005",Zalgiris,Carpegna Prosciutto Pesaro,91 - 87
Euroleague,"Jan 26, 2005",F.C. Barcelona,OnSharing Siena,58 - 70
Euroleague,"Jan 26, 2005",Petrol Olimpjia,LDLC ASVEL,79 - 67
Euroleague,"Jan 26, 2005",Maccabi Playtika Tel Aviv,AEK Athens,93 - 92
Euroleague,"Jan 26, 2005",Unicaja Malaga,Fraport Skyliners,82 - 67
Euroleague,"Jan 26, 2005",Pau-Lacq-Orthez,CSKA Moscow,93 - 103
Euroleague,"Jan 26, 2005",Trabzonspor,Benetton Treviso,62 - 69
Euroleague,"Jan 26, 2005",TD Systems Baskonia,Panathinaikos,84 - 82
Euroleague,"Feb 2, 2005",Cibona,Partizan NIS,85 - 76
